use_case(s),table,column,data_type,canonical_concept,sample_rows
Supplier Disruption Response,dim_product,sku,STRING,sku,3
Supplier Disruption Response,dim_product,product_name,STRING,product_name,3
Supplier Disruption Response,dim_product,category,STRING,category,3
Supplier Disruption Response,dim_location,dc,STRING,location,2
Supplier Disruption Response,dim_location,region,STRING,region,2
Supplier Disruption Response,dim_location,echelon,STRING,echelon,2
Supplier Disruption Response,dim_supplier,vendor,STRING,supplier,3
Supplier Disruption Response,dim_supplier,supplier_name,STRING,product_name,3
Supplier Disruption Response,dim_supplier,vendor_region,STRING,supplier_region,3
Supplier Disruption Response; Demand Planning,fct_sales,sku,STRING,sku,3
Supplier Disruption Response; Demand Planning,fct_sales,dc,STRING,location,3
Supplier Disruption Response; Demand Planning,fct_sales,period,STRING,period,3
Supplier Disruption Response; Demand Planning,fct_sales,sales_qty,INT64,sales_qty,3
Supplier Disruption Response; Inventory Optimization; Production / Manufacturing Planning; Spares Planning (IBP),fct_inventory,sku,STRING,sku,3
Supplier Disruption Response; Inventory Optimization; Production / Manufacturing Planning; Spares Planning (IBP),fct_inventory,dc,STRING,location,3
Supplier Disruption Response; Inventory Optimization; Production / Manufacturing Planning; Spares Planning (IBP),fct_inventory,on_hand,INT64,on_hand_qty,3
Supplier Disruption Response; Inventory Optimization; Production / Manufacturing Planning; Spares Planning (IBP),fct_inventory,in_transit,INT64,in_transit_qty,3
Supplier Disruption Response; Inventory Optimization; Production / Manufacturing Planning; Spares Planning (IBP),fct_inventory,safety_stock,INT64,safety_stock,3
Supplier Disruption Response; Inventory Optimization; Production / Manufacturing Planning; Spares Planning (IBP),fct_inventory,reorder_point,INT64,reorder_point,3
Supplier Disruption Response; Inventory Optimization; Production / Manufacturing Planning; Spares Planning (IBP),fct_inventory,lead_time,INT64,lead_time_days,3
Supplier Disruption Response; Inventory Optimization; Production / Manufacturing Planning; Spares Planning (IBP),fct_inventory,unit_cost,FLOAT64,unit_cost,3
Supplier Disruption Response; Inventory Optimization; Production / Manufacturing Planning; Spares Planning (IBP),fct_inventory,vendor,STRING,supplier,3
Supplier Disruption Response,fct_shipment,shipment_id,STRING,shipment_id,3
Supplier Disruption Response,fct_shipment,sku,STRING,sku,3
Supplier Disruption Response,fct_shipment,dc,STRING,location,3
Supplier Disruption Response,fct_shipment,carrier,STRING,carrier,3
Supplier Disruption Response,fct_shipment,status,STRING,ship_status,3
Supplier Disruption Response,fct_shipment,eta_days,INT64,eta_days,3
Supplier Disruption Response,fct_shipment,planned_eta,INT64,planned_eta,3
Supplier Disruption Response,fct_shipment,in_transit,INT64,in_transit_qty,3
Supplier Disruption Response,fct_po,po_id,STRING,purchase_order,0
Supplier Disruption Response,fct_po,sku,STRING,sku,0
Supplier Disruption Response,fct_po,dc,STRING,location,0
Supplier Disruption Response,fct_po,vendor,STRING,supplier,0
Supplier Disruption Response,fct_po,po_qty,INT64,po_qty,0
Supplier Disruption Response,fct_po,unit_cost,FLOAT64,unit_cost,0
Supplier Disruption Response,fct_po,status,STRING,ship_status,0
Supplier Disruption Response; Demand Planning,feat_forecast,sku,STRING,sku,3
Supplier Disruption Response; Demand Planning,feat_forecast,dc,STRING,location,3
Supplier Disruption Response; Demand Planning,feat_forecast,period,STRING,period,3
Supplier Disruption Response; Demand Planning,feat_forecast,yhat,INT64,forecast_qty,3
Supplier Disruption Response,feat_supplier_risk,vendor,STRING,supplier,3
Supplier Disruption Response,feat_supplier_risk,risk_score,FLOAT64,supplier_risk,3
Supplier Disruption Response,feat_supplier_risk,disrupted,BOOL,disruption_flag,3
Supplier Disruption Response,feat_supplier_risk,region,STRING,region,3
Supplier Disruption Response,feat_supplier_risk,note,STRING,note,3
Spares Planning (IBP),ib_install_base,sku,STRING,sku,3
Spares Planning (IBP),ib_install_base,dc,STRING,location,3
Spares Planning (IBP),ib_install_base,install_base,INT64,install_base_qty,3
Spares Planning (IBP),ib_install_base,age_months,INT64,asset_age_months,3
