po_number,po_item,material_id,plant_id,material_criticality,affected_production_orders,affected_sales_orders,production_units_at_risk,days_of_cover_without_po,estimated_exposure_value,high_business_impact
450010000,00010,MAT1008,PL01,Low,1,4,51,3,21148.68,NO
450010001,00020,MAT1003,PL03,High,0,4,482,4,23364.35,NO
450010002,00030,MAT1006,PL01,Medium,2,0,498,0,18246.71,NO
450010003,00040,MAT1002,PL04,Critical,2,2,321,1,1653.69,NO
450010004,00050,MAT1004,PL01,High,5,16,882,1,19718.75,YES
450010005,00060,MAT1002,PL04,Critical,1,5,36,3,7500.65,NO
450010006,00070,MAT1002,PL03,Critical,4,3,333,0,6541.22,NO
450010007,00080,MAT1008,PL01,Low,3,0,22,0,5657.58,NO
450010008,00010,MAT1001,PL03,Critical,0,4,44,2,21597.25,NO
450010009,00020,MAT1008,PL04,Low,1,7,262,4,16056.64,NO
450010010,00030,MAT1003,PL04,High,4,6,7,3,21507.85,NO
450010011,00040,MAT1007,PL03,Critical,4,7,317,3,11596.69,NO
450010012,00050,MAT1008,PL03,Low,13,16,1390,2,4812.61,YES
450010013,00060,MAT1007,PL01,Critical,1,0,427,0,6660.31,NO
450010014,00070,MAT1002,PL04,Critical,1,2,359,4,6357.64,NO
450010015,00080,MAT1009,PL03,High,2,2,399,1,13870.67,NO
450010016,00010,MAT1001,PL03,Critical,1,4,399,2,24886.76,NO
450010017,00020,MAT1002,PL04,Critical,4,0,418,4,9468.29,NO
450010018,00030,MAT1001,PL01,Critical,4,5,289,4,19716.72,NO
450010019,00040,MAT1004,PL02,High,1,6,85,4,1448.0,NO
450010020,00050,MAT1007,PL01,Critical,10,15,1486,0,13014.25,YES
450010021,00060,MAT1005,PL01,Medium,2,3,445,3,1452.82,NO
450010022,00070,MAT1010,PL03,High,0,0,354,3,14995.15,NO
450010023,00080,MAT1006,PL01,Medium,4,6,217,2,23759.59,NO
450010024,00010,MAT1006,PL04,Medium,0,2,443,3,3134.34,NO
450010025,00020,MAT1001,PL02,Critical,4,1,397,0,12419.57,NO
450010026,00030,MAT1009,PL03,High,0,1,76,1,20055.16,NO
450010027,00040,MAT1006,PL02,Medium,2,7,16,3,8893.95,NO
450010028,00050,MAT1005,PL04,Medium,13,10,2185,4,2979.55,YES
450010029,00060,MAT1005,PL03,Medium,3,3,169,2,7368.38,NO
450010030,00070,MAT1008,PL01,Low,4,2,229,3,15637.17,NO
450010031,00080,MAT1009,PL01,High,4,6,14,2,15364.42,NO
450010032,00010,MAT1005,PL01,Medium,1,7,87,1,7089.89,NO
450010033,00020,MAT1009,PL01,High,4,2,492,3,19972.79,NO
450010034,00030,MAT1002,PL02,Critical,4,5,333,4,11318.3,NO
450010035,00040,MAT1001,PL01,Critical,4,5,370,4,18436.18,NO
450010036,00050,MAT1001,PL02,Critical,13,7,2487,1,10110.22,YES
450010037,00060,MAT1005,PL02,Medium,2,5,270,3,20917.47,NO
450010038,00070,MAT1002,PL03,Critical,2,6,142,2,3928.74,NO
450010039,00080,MAT1008,PL02,Low,2,5,418,4,16257.77,NO
450010040,00010,MAT1005,PL04,Medium,1,7,434,2,18220.6,NO
450010041,00020,MAT1003,PL03,High,1,1,269,3,6376.74,NO
450010042,00030,MAT1010,PL04,High,2,3,122,1,15971.35,NO
450010043,00040,MAT1003,PL01,High,0,3,71,4,13321.66,NO
450010044,00050,MAT1007,PL03,Critical,12,17,2336,2,2529.39,YES
450010045,00060,MAT1002,PL01,Critical,2,7,130,4,16671.07,NO
450010046,00070,MAT1001,PL04,Critical,2,6,49,0,19264.91,NO
450010047,00080,MAT1006,PL04,Medium,2,1,22,2,4860.58,NO
450010048,00010,MAT1010,PL01,High,0,6,389,2,3175.95,NO
450010049,00020,MAT1001,PL02,Critical,1,7,360,4,13197.86,NO
