reservation_id,plant_id,material_id,reserved_qty,reservation_type,status
RES30000,PL01,MAT2007,78,Stock Transfer,OPEN
RES30001,PL02,MAT2007,412,Sales Order,PARTIAL
RES30002,PL01,MAT2002,73,Maintenance Order,PARTIAL
RES30003,PL03,MAT2001,36,Production Order,RELEASED
RES30004,PL04,MAT2001,429,Maintenance Order,OPEN
RES30005,PL03,MAT2009,227,Sales Order,OPEN
RES30006,PL03,MAT2007,172,Stock Transfer,RELEASED
RES30007,PL03,MAT2007,40,Maintenance Order,PARTIAL
RES30008,PL01,MAT2005,276,Production Order,PARTIAL
RES30009,PL03,MAT2009,163,Production Order,PARTIAL
RES30010,PL03,MAT2002,429,Sales Order,RELEASED
RES30011,PL03,MAT2010,1,Production Order,PARTIAL
RES30012,PL01,MAT2002,363,Sales Order,PARTIAL
RES30013,PL02,MAT2005,342,Stock Transfer,PARTIAL
RES30014,PL04,MAT2007,251,Stock Transfer,OPEN
RES30015,PL01,MAT2001,70,Maintenance Order,RELEASED
RES30016,PL04,MAT2001,168,Maintenance Order,OPEN
RES30017,PL02,MAT2008,320,Production Order,PARTIAL
RES30018,PL02,MAT2010,380,Stock Transfer,OPEN
RES30019,PL03,MAT2009,23,Production Order,PARTIAL
RES30020,PL03,MAT2008,287,Maintenance Order,RELEASED
RES30021,PL01,MAT2005,369,Stock Transfer,RELEASED
RES30022,PL03,MAT2007,494,Maintenance Order,PARTIAL
RES30023,PL04,MAT2002,86,Maintenance Order,OPEN
RES30024,PL02,MAT2004,215,Production Order,RELEASED
RES30025,PL03,MAT2003,240,Production Order,OPEN
RES30026,PL02,MAT2001,487,Maintenance Order,OPEN
RES30027,PL01,MAT2007,186,Stock Transfer,PARTIAL
RES30028,PL03,MAT2006,310,Maintenance Order,OPEN
RES30029,PL03,MAT2006,122,Sales Order,OPEN
RES30030,PL01,MAT2001,343,Sales Order,OPEN
RES30031,PL01,MAT2002,148,Sales Order,PARTIAL
RES30032,PL03,MAT2007,497,Production Order,PARTIAL
RES30033,PL01,MAT2005,482,Stock Transfer,PARTIAL
RES30034,PL02,MAT2003,46,Sales Order,OPEN
RES30035,PL02,MAT2002,482,Stock Transfer,RELEASED
RES30036,PL04,MAT2009,324,Production Order,OPEN
RES30037,PL03,MAT2007,395,Production Order,RELEASED
RES30038,PL04,MAT2006,460,Production Order,OPEN
RES30039,PL03,MAT2004,151,Maintenance Order,PARTIAL
RES30040,PL04,MAT2008,437,Stock Transfer,PARTIAL
RES30041,PL02,MAT2007,391,Sales Order,PARTIAL
RES30042,PL04,MAT2008,448,Maintenance Order,PARTIAL
RES30043,PL03,MAT2008,498,Stock Transfer,OPEN
RES30044,PL03,MAT2008,457,Production Order,OPEN
RES30045,PL04,MAT2003,445,Sales Order,PARTIAL
RES30046,PL03,MAT2002,1,Maintenance Order,RELEASED
RES30047,PL04,MAT2006,380,Sales Order,RELEASED
RES30048,PL04,MAT2005,442,Maintenance Order,PARTIAL
RES30049,PL02,MAT2003,453,Sales Order,OPEN
RES30050,PL03,MAT2003,36,Production Order,OPEN
RES30051,PL03,MAT2004,414,Production Order,OPEN
RES30052,PL01,MAT2010,144,Maintenance Order,PARTIAL
RES30053,PL01,MAT2006,433,Sales Order,RELEASED
RES30054,PL01,MAT2002,422,Production Order,RELEASED
RES30055,PL03,MAT2010,374,Maintenance Order,PARTIAL
RES30056,PL03,MAT2002,117,Production Order,RELEASED
RES30057,PL04,MAT2006,489,Stock Transfer,PARTIAL
RES30058,PL03,MAT2007,324,Stock Transfer,OPEN
RES30059,PL04,MAT2004,280,Production Order,RELEASED
RES30060,PL04,MAT2009,62,Maintenance Order,RELEASED
RES30061,PL01,MAT2003,185,Production Order,OPEN
RES30062,PL01,MAT2006,53,Production Order,RELEASED
RES30063,PL04,MAT2004,162,Stock Transfer,RELEASED
RES30064,PL02,MAT2002,212,Stock Transfer,PARTIAL
RES30065,PL01,MAT2004,474,Production Order,PARTIAL
RES30066,PL02,MAT2007,363,Production Order,OPEN
RES30067,PL04,MAT2010,251,Stock Transfer,PARTIAL
RES30068,PL02,MAT2003,326,Production Order,RELEASED
RES30069,PL01,MAT2010,258,Maintenance Order,OPEN
RES30070,PL02,MAT2001,294,Stock Transfer,RELEASED
RES30071,PL03,MAT2005,2,Maintenance Order,PARTIAL
RES30072,PL03,MAT2010,383,Stock Transfer,OPEN
RES30073,PL04,MAT2001,165,Sales Order,OPEN
RES30074,PL03,MAT2010,116,Production Order,OPEN
RES30075,PL02,MAT2005,88,Maintenance Order,PARTIAL
RES30076,PL02,MAT2005,461,Sales Order,OPEN
RES30077,PL03,MAT2009,226,Production Order,RELEASED
RES30078,PL04,MAT2001,341,Maintenance Order,RELEASED
RES30079,PL01,MAT2005,100,Production Order,RELEASED
RES30080,PL03,MAT2005,18,Maintenance Order,OPEN
RES30081,PL04,MAT2001,369,Stock Transfer,RELEASED
RES30082,PL04,MAT2004,275,Production Order,OPEN
RES30083,PL02,MAT2010,329,Production Order,RELEASED
RES30084,PL04,MAT2005,185,Production Order,PARTIAL
RES30085,PL04,MAT2010,472,Sales Order,OPEN
RES30086,PL01,MAT2002,41,Maintenance Order,OPEN
RES30087,PL04,MAT2004,325,Maintenance Order,PARTIAL
RES30088,PL03,MAT2004,31,Stock Transfer,RELEASED
RES30089,PL02,MAT2009,243,Stock Transfer,RELEASED
RES30090,PL02,MAT2005,41,Production Order,RELEASED
RES30091,PL01,MAT2007,428,Maintenance Order,OPEN
RES30092,PL02,MAT2005,464,Production Order,PARTIAL
RES30093,PL04,MAT2001,316,Stock Transfer,RELEASED
RES30094,PL02,MAT2006,347,Sales Order,PARTIAL
RES30095,PL02,MAT2001,385,Sales Order,PARTIAL
RES30096,PL04,MAT2002,367,Stock Transfer,OPEN
RES30097,PL02,MAT2010,459,Production Order,RELEASED
RES30098,PL03,MAT2003,341,Maintenance Order,PARTIAL
RES30099,PL02,MAT2001,375,Maintenance Order,RELEASED
RES30100,PL04,MAT2010,345,Maintenance Order,RELEASED
RES30101,PL01,MAT2005,198,Production Order,PARTIAL
RES30102,PL04,MAT2003,438,Maintenance Order,RELEASED
RES30103,PL03,MAT2005,309,Sales Order,RELEASED
RES30104,PL03,MAT2010,374,Production Order,RELEASED
RES30105,PL03,MAT2004,232,Maintenance Order,RELEASED
RES30106,PL01,MAT2009,267,Stock Transfer,RELEASED
RES30107,PL04,MAT2003,371,Production Order,RELEASED
RES30108,PL02,MAT2008,157,Stock Transfer,RELEASED
RES30109,PL01,MAT2005,272,Sales Order,PARTIAL
RES30110,PL03,MAT2007,7,Maintenance Order,RELEASED
RES30111,PL02,MAT2002,443,Production Order,OPEN
RES30112,PL03,MAT2007,391,Maintenance Order,RELEASED
RES30113,PL02,MAT2001,421,Maintenance Order,RELEASED
RES30114,PL02,MAT2002,115,Production Order,PARTIAL
RES30115,PL01,MAT2009,294,Production Order,RELEASED
RES30116,PL02,MAT2007,411,Stock Transfer,OPEN
RES30117,PL04,MAT2007,236,Stock Transfer,RELEASED
RES30118,PL01,MAT2001,120,Sales Order,RELEASED
RES30119,PL04,MAT2004,254,Maintenance Order,RELEASED
RES30120,PL04,MAT2006,473,Production Order,OPEN
RES30121,PL04,MAT2006,401,Production Order,PARTIAL
RES30122,PL04,MAT2003,6,Sales Order,RELEASED
RES30123,PL04,MAT2007,332,Sales Order,PARTIAL
RES30124,PL01,MAT2008,342,Production Order,PARTIAL
RES30125,PL03,MAT2008,97,Production Order,PARTIAL
RES30126,PL01,MAT2003,272,Sales Order,PARTIAL
RES30127,PL01,MAT2002,394,Sales Order,PARTIAL
RES30128,PL01,MAT2007,326,Stock Transfer,RELEASED
RES30129,PL04,MAT2002,190,Sales Order,PARTIAL
RES30130,PL02,MAT2005,320,Stock Transfer,OPEN
RES30131,PL04,MAT2009,482,Maintenance Order,PARTIAL
RES30132,PL04,MAT2001,314,Stock Transfer,PARTIAL
RES30133,PL01,MAT2001,365,Sales Order,OPEN
RES30134,PL04,MAT2007,128,Maintenance Order,OPEN
RES30135,PL04,MAT2001,485,Production Order,RELEASED
RES30136,PL01,MAT2009,62,Stock Transfer,OPEN
RES30137,PL04,MAT2006,185,Production Order,PARTIAL
RES30138,PL04,MAT2006,475,Stock Transfer,OPEN
RES30139,PL01,MAT2010,155,Sales Order,OPEN
RES30140,PL02,MAT2004,233,Stock Transfer,PARTIAL
RES30141,PL02,MAT2002,264,Sales Order,OPEN
RES30142,PL04,MAT2010,499,Stock Transfer,PARTIAL
RES30143,PL03,MAT2008,468,Production Order,PARTIAL
RES30144,PL03,MAT2008,339,Maintenance Order,PARTIAL
RES30145,PL02,MAT2002,469,Stock Transfer,RELEASED
RES30146,PL02,MAT2008,31,Production Order,RELEASED
RES30147,PL03,MAT2010,454,Sales Order,OPEN
RES30148,PL01,MAT2009,360,Maintenance Order,OPEN
RES30149,PL02,MAT2004,224,Sales Order,RELEASED
RES30150,PL04,MAT2005,129,Stock Transfer,RELEASED
RES30151,PL04,MAT2005,116,Sales Order,PARTIAL
RES30152,PL03,MAT2005,55,Production Order,PARTIAL
RES30153,PL03,MAT2006,14,Sales Order,PARTIAL
RES30154,PL04,MAT2001,390,Stock Transfer,PARTIAL
RES30155,PL04,MAT2001,264,Sales Order,RELEASED
RES30156,PL03,MAT2010,196,Stock Transfer,RELEASED
RES30157,PL02,MAT2007,162,Production Order,OPEN
RES30158,PL02,MAT2003,367,Stock Transfer,RELEASED
RES30159,PL02,MAT2007,228,Production Order,PARTIAL
RES30160,PL04,MAT2010,131,Stock Transfer,PARTIAL
RES30161,PL03,MAT2009,369,Production Order,RELEASED
RES30162,PL04,MAT2001,263,Maintenance Order,PARTIAL
RES30163,PL01,MAT2007,380,Maintenance Order,OPEN
RES30164,PL03,MAT2008,316,Stock Transfer,RELEASED
RES30165,PL03,MAT2004,304,Production Order,OPEN
RES30166,PL01,MAT2008,376,Stock Transfer,RELEASED
RES30167,PL02,MAT2004,474,Stock Transfer,RELEASED
RES30168,PL04,MAT2008,279,Maintenance Order,OPEN
RES30169,PL01,MAT2010,298,Maintenance Order,PARTIAL
RES30170,PL04,MAT2006,324,Maintenance Order,OPEN
RES30171,PL01,MAT2001,67,Sales Order,RELEASED
RES30172,PL02,MAT2003,25,Maintenance Order,OPEN
RES30173,PL04,MAT2007,456,Maintenance Order,OPEN
RES30174,PL03,MAT2004,239,Stock Transfer,RELEASED
RES30175,PL04,MAT2006,339,Stock Transfer,OPEN
RES30176,PL03,MAT2010,40,Production Order,OPEN
RES30177,PL04,MAT2003,262,Maintenance Order,OPEN
RES30178,PL01,MAT2002,302,Production Order,RELEASED
RES30179,PL01,MAT2003,191,Stock Transfer,PARTIAL
RES30180,PL02,MAT2008,234,Maintenance Order,PARTIAL
RES30181,PL01,MAT2001,408,Sales Order,PARTIAL
RES30182,PL01,MAT2002,71,Stock Transfer,PARTIAL
RES30183,PL02,MAT2008,289,Maintenance Order,RELEASED
RES30184,PL03,MAT2010,194,Production Order,PARTIAL
RES30185,PL01,MAT2009,176,Maintenance Order,OPEN
RES30186,PL03,MAT2006,203,Stock Transfer,OPEN
RES30187,PL03,MAT2002,236,Stock Transfer,PARTIAL
RES30188,PL02,MAT2003,35,Maintenance Order,OPEN
RES30189,PL01,MAT2006,224,Stock Transfer,OPEN
RES30190,PL02,MAT2008,429,Stock Transfer,PARTIAL
RES30191,PL02,MAT2010,146,Sales Order,OPEN
RES30192,PL01,MAT2010,405,Maintenance Order,OPEN
RES30193,PL01,MAT2010,141,Sales Order,OPEN
RES30194,PL02,MAT2007,309,Production Order,OPEN
RES30195,PL03,MAT2010,424,Stock Transfer,OPEN
RES30196,PL01,MAT2004,364,Sales Order,RELEASED
RES30197,PL01,MAT2002,65,Stock Transfer,RELEASED
RES30198,PL04,MAT2003,337,Sales Order,OPEN
RES30199,PL02,MAT2009,221,Maintenance Order,PARTIAL
RES30200,PL04,MAT2001,362,Stock Transfer,OPEN
RES30201,PL03,MAT2007,31,Stock Transfer,OPEN
RES30202,PL02,MAT2008,36,Production Order,RELEASED
RES30203,PL01,MAT2010,313,Sales Order,RELEASED
RES30204,PL04,MAT2004,484,Maintenance Order,PARTIAL
RES30205,PL02,MAT2003,319,Maintenance Order,PARTIAL
RES30206,PL02,MAT2002,13,Maintenance Order,OPEN
RES30207,PL01,MAT2010,33,Production Order,OPEN
RES30208,PL04,MAT2008,116,Sales Order,PARTIAL
RES30209,PL01,MAT2005,465,Maintenance Order,RELEASED
RES30210,PL03,MAT2005,281,Maintenance Order,OPEN
RES30211,PL03,MAT2005,56,Sales Order,OPEN
RES30212,PL04,MAT2008,487,Stock Transfer,RELEASED
RES30213,PL01,MAT2002,344,Production Order,RELEASED
RES30214,PL02,MAT2006,73,Stock Transfer,PARTIAL
RES30215,PL01,MAT2008,78,Maintenance Order,RELEASED
RES30216,PL02,MAT2010,455,Production Order,OPEN
RES30217,PL01,MAT2002,46,Stock Transfer,OPEN
RES30218,PL03,MAT2004,292,Production Order,OPEN
RES30219,PL03,MAT2005,380,Stock Transfer,OPEN
RES30220,PL01,MAT2007,14,Sales Order,PARTIAL
RES30221,PL02,MAT2007,202,Sales Order,RELEASED
RES30222,PL01,MAT2002,90,Production Order,PARTIAL
RES30223,PL03,MAT2001,307,Stock Transfer,RELEASED
RES30224,PL04,MAT2001,103,Sales Order,RELEASED
RES30225,PL03,MAT2009,294,Maintenance Order,OPEN
RES30226,PL03,MAT2007,125,Stock Transfer,PARTIAL
RES30227,PL03,MAT2007,162,Sales Order,RELEASED
RES30228,PL01,MAT2005,149,Maintenance Order,RELEASED
RES30229,PL03,MAT2009,294,Production Order,OPEN
RES30230,PL03,MAT2002,346,Stock Transfer,PARTIAL
RES30231,PL03,MAT2010,415,Maintenance Order,OPEN
RES30232,PL01,MAT2002,3,Production Order,RELEASED
RES30233,PL02,MAT2005,99,Sales Order,PARTIAL
RES30234,PL04,MAT2007,194,Stock Transfer,OPEN
RES30235,PL01,MAT2001,348,Stock Transfer,OPEN
RES30236,PL04,MAT2001,466,Sales Order,OPEN
RES30237,PL02,MAT2008,144,Stock Transfer,OPEN
RES30238,PL02,MAT2010,186,Sales Order,OPEN
RES30239,PL03,MAT2009,396,Sales Order,PARTIAL
RES30240,PL03,MAT2008,473,Maintenance Order,PARTIAL
RES30241,PL01,MAT2005,229,Maintenance Order,PARTIAL
RES30242,PL03,MAT2007,24,Sales Order,PARTIAL
RES30243,PL04,MAT2002,179,Production Order,PARTIAL
RES30244,PL02,MAT2004,216,Production Order,PARTIAL
RES30245,PL03,MAT2003,90,Stock Transfer,PARTIAL
RES30246,PL02,MAT2001,445,Maintenance Order,RELEASED
RES30247,PL01,MAT2007,249,Stock Transfer,RELEASED
RES30248,PL03,MAT2006,404,Sales Order,PARTIAL
RES30249,PL03,MAT2006,257,Maintenance Order,OPEN
RES30250,PL01,MAT2001,65,Stock Transfer,PARTIAL
RES30251,PL01,MAT2002,366,Stock Transfer,PARTIAL
RES30252,PL03,MAT2007,212,Maintenance Order,OPEN
RES30253,PL01,MAT2005,120,Maintenance Order,PARTIAL
RES30254,PL02,MAT2003,438,Maintenance Order,PARTIAL
RES30255,PL02,MAT2002,438,Maintenance Order,RELEASED
RES30256,PL04,MAT2009,326,Sales Order,RELEASED
RES30257,PL03,MAT2007,269,Sales Order,PARTIAL
RES30258,PL04,MAT2006,172,Stock Transfer,RELEASED
RES30259,PL03,MAT2004,173,Stock Transfer,OPEN
