plant_id,material_id,production_orders_at_risk,sales_orders_at_risk,production_units_at_risk,estimated_business_exposure
PL02,MAT3001,0,13,584,7754.56
PL03,MAT3002,8,15,15,34431.76
PL04,MAT3003,3,19,1705,28139.25
PL01,MAT3004,7,17,1577,42652.29
PL02,MAT3005,1,8,483,62832.94
PL03,MAT3006,8,13,1209,9500.49
PL05,MAT3007,4,19,125,74293.08
PL06,MAT3008,10,3,1430,60633.02
PL01,MAT3009,9,7,523,52999.26
PL02,MAT3010,9,9,1408,33532.64
PL05,MAT3002,4,0,1077,31700.14
PL02,MAT3008,8,14,1477,36046.52
PL02,MAT3006,0,19,983,7106.81
PL05,MAT3005,9,10,145,62946.02
PL04,MAT3004,0,13,1057,18383.39
PL01,MAT3004,11,2,1011,53202.75
PL01,MAT3007,3,9,1765,6164.54
PL04,MAT3010,4,1,42,46430.85
PL01,MAT3001,8,5,93,7710.15
PL06,MAT3004,3,18,316,43670.53
PL03,MAT3005,9,9,1990,50858.97
PL05,MAT3007,1,4,790,58782.75
PL01,MAT3010,7,7,1779,74860.66
PL05,MAT3007,2,2,177,36317.23
PL01,MAT3009,0,9,125,63603.87
PL02,MAT3004,3,10,347,62561.4
PL04,MAT3003,4,18,2276,10591.74
PL01,MAT3010,7,14,1609,65610.97
PL03,MAT3010,3,14,2216,78483.46
PL04,MAT3008,1,1,59,6368.62
PL05,MAT3002,7,4,1057,33023.38
PL04,MAT3005,11,15,1787,50898.46
PL05,MAT3003,11,0,1624,42353.57
PL06,MAT3005,2,15,1385,26579.76
PL05,MAT3009,6,14,2153,52273.02
PL03,MAT3001,9,8,1744,57718.08
PL06,MAT3009,4,13,1450,38202.43
PL02,MAT3003,2,17,1384,62621.06
PL04,MAT3009,3,9,782,54434.61
PL05,MAT3007,2,5,843,36188.54
PL06,MAT3005,3,15,835,56960.63
PL03,MAT3001,10,19,66,16326.14
PL01,MAT3007,5,10,2369,61348.69
PL06,MAT3009,9,1,1680,22537.49
PL01,MAT3002,6,3,2001,52250.09
PL06,MAT3006,10,8,33,36798.12
PL05,MAT3002,1,15,2225,73155.91
PL02,MAT3009,7,8,2071,7811.76
PL03,MAT3007,1,13,1359,47790.23
PL06,MAT3007,6,6,61,44779.26
PL06,MAT3005,10,8,736,50362.17
PL01,MAT3007,3,11,604,56095.43
