plant_id,material_id,next_30d_demand,next_60d_demand,days_until_peak_requirement,demand_source
PL01,MAT3001,114,87,1710,Maintenance
PL02,MAT3001,559,371,7267,Sales
PL02,MAT3002,258,285,3096,Production
PL03,MAT3002,848,635,9328,Production
PL03,MAT3003,237,160,3081,Sales
PL04,MAT3003,843,582,7587,Sales
PL04,MAT3004,299,323,4186,Sales
PL01,MAT3004,492,462,7872,Production
PL05,MAT3005,274,241,4110,Production
PL02,MAT3005,884,545,4420,Production
PL06,MAT3006,91,99,455,Maintenance
PL03,MAT3006,390,441,4680,Sales
PL01,MAT3007,334,250,5010,Sales
PL05,MAT3007,369,394,5904,Sales
PL02,MAT3008,158,179,2686,Maintenance
PL06,MAT3008,313,230,2191,Sales
PL03,MAT3009,265,262,4240,Sales
PL01,MAT3009,755,823,6040,Maintenance
PL04,MAT3010,122,92,1342,Production
PL02,MAT3010,484,515,4840,Sales
PL05,MAT3002,852,667,11,Sales
PL05,MAT3010,704,552,23,Sales
PL02,MAT3008,873,823,12,Maintenance
PL02,MAT3006,845,751,14,Maintenance
PL05,MAT3005,818,869,28,Production
PL04,MAT3004,357,291,28,Production
PL06,MAT3007,391,341,13,Sales
PL04,MAT3008,195,165,9,Sales
PL02,MAT3009,177,198,18,Maintenance
PL04,MAT3009,195,164,16,Sales
PL05,MAT3007,626,625,22,Maintenance
PL03,MAT3010,185,146,13,Production
PL04,MAT3007,576,627,23,Maintenance
PL02,MAT3006,195,142,27,Sales
PL01,MAT3004,771,911,14,Production
PL01,MAT3007,448,494,15,Maintenance
PL04,MAT3010,606,513,9,Production
PL01,MAT3001,675,581,14,Production
PL06,MAT3004,400,291,6,Maintenance
PL01,MAT3003,136,121,6,Sales
PL02,MAT3005,691,721,24,Sales
PL03,MAT3005,343,370,8,Production
PL05,MAT3007,884,584,25,Maintenance
PL05,MAT3006,446,299,11,Production
PL01,MAT3010,818,557,21,Maintenance
PL06,MAT3001,192,136,15,Sales
PL05,MAT3007,93,73,14,Production
PL06,MAT3010,560,452,21,Production
PL05,MAT3009,101,118,17,Production
PL05,MAT3007,806,690,28,Sales
PL01,MAT3009,835,919,26,Sales
PL02,MAT3004,498,568,23,Sales
PL05,MAT3003,304,235,13,Sales
PL03,MAT3004,321,316,6,Maintenance
PL04,MAT3003,807,724,9,Production
PL06,MAT3009,278,188,18,Sales
PL01,MAT3010,493,531,18,Maintenance
PL06,MAT3007,235,240,20,Sales
PL04,MAT3001,421,500,17,Production
PL02,MAT3005,459,312,24,Maintenance
PL06,MAT3001,462,495,18,Production
PL05,MAT3001,308,267,13,Production
PL03,MAT3010,521,496,24,Sales
PL04,MAT3008,468,347,16,Production
PL04,MAT3007,316,219,8,Sales
PL05,MAT3002,752,635,15,Sales
PL04,MAT3005,499,466,18,Maintenance
PL05,MAT3003,564,469,27,Sales
PL06,MAT3010,716,788,12,Maintenance
PL06,MAT3005,367,359,20,Maintenance
PL05,MAT3009,880,601,28,Production
PL05,MAT3002,443,271,20,Sales
PL04,MAT3006,541,543,7,Maintenance
PL03,MAT3001,468,374,18,Production
PL06,MAT3009,748,520,19,Production
PL04,MAT3007,353,411,23,Maintenance
PL02,MAT3003,618,737,13,Production
PL03,MAT3010,195,231,11,Production
PL03,MAT3008,225,185,6,Maintenance
PL04,MAT3009,836,906,12,Production
PL04,MAT3003,522,481,17,Production
PL04,MAT3005,330,215,17,Maintenance
PL05,MAT3007,698,471,9,Production
PL02,MAT3009,240,250,24,Maintenance
PL06,MAT3005,614,598,22,Maintenance
PL03,MAT3001,767,872,17,Sales
PL01,MAT3007,724,726,9,Maintenance
PL06,MAT3009,823,713,24,Sales
PL01,MAT3004,828,991,12,Maintenance
PL01,MAT3002,296,215,22,Production
PL03,MAT3006,347,392,7,Production
PL06,MAT3006,724,641,28,Sales
PL01,MAT3009,428,340,5,Sales
PL06,MAT3007,203,202,5,Production
PL03,MAT3009,557,578,14,Production
PL05,MAT3002,740,742,10,Sales
PL05,MAT3008,580,564,27,Sales
PL02,MAT3009,773,544,20,Production
PL06,MAT3006,159,101,13,Maintenance
PL03,MAT3007,561,511,8,Sales
PL06,MAT3009,225,224,27,Maintenance
PL06,MAT3007,753,553,13,Sales
PL04,MAT3002,96,87,8,Maintenance
PL03,MAT3010,578,447,8,Maintenance
PL06,MAT3005,638,640,6,Maintenance
PL01,MAT3007,665,530,28,Sales
PL06,MAT3009,598,373,20,Maintenance
PL03,MAT3010,648,524,13,Maintenance
PL05,MAT3005,288,259,17,Sales
PL01,MAT3006,223,153,22,Production
