fg_id,part_id,qty_per,bom_level,part_primary_vendor_id
FG-00001,P-003667,2,1,V-00770
FG-00001,P-005875,3,1,V-00007
FG-00001,P-011088,1,1,V-00916
FG-00001,P-004735,11,1,V-01096
FG-00001,P-010142,7,1,V-00022
FG-00002,P-002078,3,1,V-00143
FG-00002,P-004687,4,1,V-01150
FG-00002,P-001797,5,1,V-00112
FG-00002,P-008882,4,1,V-04003
FG-00002,P-003322,3,1,V-00148
FG-00002,P-008876,12,1,V-00256
FG-00002,P-004940,5,1,V-00777
FG-00003,P-007857,1,1,V-00602
FG-00003,P-007789,10,1,V-00187
FG-00003,P-005253,6,1,V-00277
FG-00003,P-001976,1,1,V-04038
FG-00004,P-000895,9,1,V-00955
FG-00004,P-001802,1,1,V-00987
FG-00004,P-006042,6,1,V-02173
FG-00004,P-007062,8,1,V-02513
FG-00004,P-003846,2,1,V-00344
FG-00004,P-000992,10,1,V-00170
FG-00005,P-011567,5,1,V-00747
FG-00005,P-005174,4,1,V-00971
FG-00005,P-002235,4,1,V-00993
FG-00005,P-006935,2,1,V-00448
FG-00005,P-003049,8,1,V-03665
FG-00005,P-009337,12,1,V-04037
FG-00005,P-004718,4,1,V-01149
FG-00006,P-003271,5,1,V-00903
FG-00006,P-008903,2,1,V-00807
FG-00006,P-006925,6,1,V-00383
FG-00006,P-011190,12,1,V-00194
FG-00006,P-006135,2,1,V-00557
FG-00006,P-005330,7,1,V-00077
FG-00006,P-003370,10,1,V-01024
FG-00007,P-001687,4,1,V-01025
FG-00007,P-003072,8,1,V-04218
FG-00007,P-006437,6,1,V-02335
FG-00008,P-002623,8,1,V-00800
FG-00008,P-006281,4,1,V-00541
FG-00008,P-006596,11,1,V-00891
FG-00009,P-008962,3,1,V-03292
FG-00009,P-009388,4,1,V-00563
FG-00009,P-010022,12,1,V-02174
FG-00009,P-010328,12,1,V-02282
FG-00009,P-003515,8,1,V-01086
FG-00009,P-008510,11,1,V-00441
FG-00009,P-003975,2,1,V-00534
FG-00010,P-003131,5,1,V-02659
FG-00010,P-000088,2,1,V-01129
FG-00010,P-006528,9,1,V-02163
FG-00011,P-010845,7,1,V-00204
FG-00011,P-000080,7,1,V-00602
FG-00011,P-004079,9,1,V-00805
FG-00011,P-010809,4,1,V-00231
FG-00011,P-002531,11,1,V-00015
FG-00012,P-008459,1,1,V-00233
FG-00012,P-004559,2,1,V-00991
FG-00012,P-001084,1,1,V-00726
FG-00012,P-000269,10,1,V-01154
FG-00012,P-004997,8,1,V-00039
FG-00012,P-006541,1,1,V-01119
FG-00012,P-007497,9,1,V-00732
FG-00013,P-006435,3,1,V-00740
FG-00013,P-011190,7,1,V-00194
FG-00013,P-007392,3,1,V-00389
FG-00013,P-003938,2,1,V-02766
FG-00013,P-001710,1,1,V-00020
FG-00013,P-008522,12,1,V-01133
FG-00014,P-002457,12,1,V-00544
FG-00014,P-002170,9,1,V-00941
FG-00014,P-004360,9,1,V-00855
FG-00015,P-008706,12,1,V-00974
FG-00015,P-006070,7,1,V-01118
FG-00015,P-004535,2,1,V-02075
FG-00015,P-010317,6,1,V-01608
FG-00015,P-008372,2,1,V-00624
FG-00015,P-011216,2,1,V-02630
FG-00016,P-007631,11,1,V-02953
FG-00016,P-004780,4,1,V-00131
FG-00016,P-009137,2,1,V-00499
FG-00016,P-005332,11,1,V-00221
FG-00016,P-004220,7,1,V-01132
FG-00016,P-004069,1,1,V-00335
FG-00017,P-005309,4,1,V-01069
FG-00017,P-007350,1,1,V-03519
FG-00017,P-010661,11,1,V-03582
FG-00017,P-002390,3,1,V-00044
FG-00017,P-006676,9,1,V-00542
FG-00017,P-010145,8,1,V-00421
FG-00018,P-005428,11,1,V-01472
FG-00018,P-009188,3,1,V-01675
FG-00018,P-005194,2,1,V-00916
FG-00018,P-008259,9,1,V-01104
FG-00019,P-010397,9,1,V-02698
FG-00019,P-001277,5,1,V-04167
FG-00019,P-009070,10,1,V-01022
FG-00019,P-003093,12,1,V-03330
FG-00019,P-006008,3,1,V-01054
FG-00019,P-010472,11,1,V-02098
FG-00019,P-009060,12,1,V-00382
FG-00020,P-002470,11,1,V-00523
FG-00020,P-008764,1,1,V-00037
FG-00020,P-007930,1,1,V-00173
FG-00020,P-006146,8,1,V-00170
FG-00021,P-010299,11,1,V-00900
FG-00021,P-001016,8,1,V-01538
FG-00021,P-002618,12,1,V-00680
FG-00021,P-002977,1,1,V-01088
FG-00022,P-001231,8,1,V-00944
FG-00022,P-007385,5,1,V-00884
FG-00022,P-008906,4,1,V-00557
FG-00022,P-011690,7,1,V-01541
FG-00023,P-006622,10,1,V-00772
FG-00023,P-010626,8,1,V-00653
FG-00023,P-005974,3,1,V-01164
FG-00023,P-010667,4,1,V-00279
FG-00024,P-001034,10,1,V-01392
FG-00024,P-001504,4,1,V-01035
FG-00024,P-011947,1,1,V-03293
FG-00024,P-009150,2,1,V-00264
FG-00025,P-005234,5,1,V-00472
FG-00025,P-008729,6,1,V-00816
FG-00025,P-008443,9,1,V-00748
FG-00025,P-006529,6,1,V-00522
FG-00025,P-007828,3,1,V-00989
FG-00025,P-007024,4,1,V-00445
FG-00025,P-006608,9,1,V-00905
FG-00026,P-002113,5,1,V-00599
FG-00026,P-011043,10,1,V-00969
FG-00026,P-010851,6,1,V-01047
FG-00026,P-000479,3,1,V-00132
FG-00026,P-005124,6,1,V-01459
FG-00026,P-009080,6,1,V-00785
FG-00027,P-004237,11,1,V-00508
FG-00027,P-010032,9,1,V-03412
FG-00027,P-008746,2,1,V-00171
FG-00028,P-001828,9,1,V-00076
FG-00028,P-008179,3,1,V-00771
FG-00028,P-011111,6,1,V-00488
FG-00028,P-001420,1,1,V-00515
FG-00028,P-009901,6,1,V-00053
FG-00029,P-010417,3,1,V-00763
FG-00029,P-004100,1,1,V-01056
FG-00029,P-004399,11,1,V-01188
FG-00030,P-010023,2,1,V-01829
FG-00030,P-009884,2,1,V-00122
