signal_id,impact_domain,unit,week_bucket,value
SIG-2026-0912,Customer fulfilment,OTIF pt,wk1-2,-2
SIG-2026-0912,Customer fulfilment,OTIF pt,wk3-6,-9
SIG-2026-0912,Customer fulfilment,OTIF pt,wk7+,-3
SIG-2026-0912,Manufacturing capacity,lines idle,wk1-2,0
SIG-2026-0912,Manufacturing capacity,lines idle,wk3-6,3
SIG-2026-0912,Manufacturing capacity,lines idle,wk7+,1
SIG-2026-0912,Inventory cover,days,wk1-2,19
SIG-2026-0912,Inventory cover,days,wk3-6,4
SIG-2026-0912,Inventory cover,days,wk7+,9
SIG-2026-0912,Transportation premium,$M,wk1-2,0.2
SIG-2026-0912,Transportation premium,$M,wk3-6,0.6
SIG-2026-0912,Transportation premium,$M,wk7+,0.1
SIG-2026-0912,Parts to re-source,Parts to re-source,wk1-2,0
SIG-2026-0912,Parts to re-source,Parts to re-source,wk3-6,38
SIG-2026-0912,Parts to re-source,Parts to re-source,wk7+,12
SIG-2026-0912,Margin,pt,wk1-2,-0.4
SIG-2026-0912,Margin,pt,wk3-6,-2.1
SIG-2026-0912,Margin,pt,wk7+,-0.6
SIG-2026-0912,Working capital,$M,wk1-2,2
SIG-2026-0912,Working capital,$M,wk3-6,11
SIG-2026-0912,Working capital,$M,wk7+,4
SIG-2026-0913,Customer fulfilment,OTIF pt,wk1-2,-1
SIG-2026-0913,Customer fulfilment,OTIF pt,wk3-6,-3
SIG-2026-0913,Customer fulfilment,OTIF pt,wk7+,0
SIG-2026-0913,Manufacturing capacity,lines idle,wk1-2,0
SIG-2026-0913,Manufacturing capacity,lines idle,wk3-6,1
SIG-2026-0913,Manufacturing capacity,lines idle,wk7+,0
SIG-2026-0913,Inventory cover,days,wk1-2,12
SIG-2026-0913,Inventory cover,days,wk3-6,7
SIG-2026-0913,Inventory cover,days,wk7+,14
SIG-2026-0913,Transportation premium,$M,wk1-2,0.3
SIG-2026-0913,Transportation premium,$M,wk3-6,0.2
SIG-2026-0913,Transportation premium,$M,wk7+,0
SIG-2026-0913,Parts to re-source,Parts to re-source,wk1-2,0
SIG-2026-0913,Parts to re-source,Parts to re-source,wk3-6,0
SIG-2026-0913,Parts to re-source,Parts to re-source,wk7+,0
SIG-2026-0913,Margin,pt,wk1-2,-0.2
SIG-2026-0913,Margin,pt,wk3-6,-0.5
SIG-2026-0913,Margin,pt,wk7+,0
SIG-2026-0913,Working capital,$M,wk1-2,1
SIG-2026-0913,Working capital,$M,wk3-6,3
SIG-2026-0913,Working capital,$M,wk7+,1
SIG-2026-0914,Customer fulfilment,OTIF pt,wk1-2,0
SIG-2026-0914,Customer fulfilment,OTIF pt,wk3-6,-2
SIG-2026-0914,Customer fulfilment,OTIF pt,wk7+,-6
SIG-2026-0914,Manufacturing capacity,lines idle,wk1-2,0
SIG-2026-0914,Manufacturing capacity,lines idle,wk3-6,0
SIG-2026-0914,Manufacturing capacity,lines idle,wk7+,2
SIG-2026-0914,Inventory cover,days,wk1-2,22
SIG-2026-0914,Inventory cover,days,wk3-6,16
SIG-2026-0914,Inventory cover,days,wk7+,6
SIG-2026-0914,Transportation premium,$M,wk1-2,0
SIG-2026-0914,Transportation premium,$M,wk3-6,0.1
SIG-2026-0914,Transportation premium,$M,wk7+,0.2
