po_number,po_item,supplier_id,material_id,plant_id,ordered_qty,confirmed_qty,requested_delivery_date,confirmed_delivery_date,po_status,confirmation_status,confirmation_change_count,demo_scenario
450010000,00010,SUP1004,MAT1008,PL01,877,877,2026-09-28,2026-09-27,OPEN,CONFIRMED,0,STABLE
450010001,00020,SUP1003,MAT1003,PL03,583,583,2026-10-08,2026-10-08,OPEN,CONFIRMED,0,CHRONIC_LATE
450010002,00030,SUP1001,MAT1006,PL01,322,322,2026-10-08,2026-10-09,OPEN,CONFIRMED,0,RECENT_DETERIORATION
450010003,00040,SUP1008,MAT1002,PL04,583,583,2026-10-06,2026-10-07,OPEN,CONFIRMED,0,NEW_SUPPLIER
450010004,00050,SUP1007,MAT1004,PL01,356,356,2026-09-27,2026-09-28,OPEN,CONFIRMED,0,HIGH_IMPACT
450010005,00060,SUP1005,MAT1002,PL04,96,53,2026-09-24,2026-09-24,OPEN,CONFIRMED,1,PARTIAL_CONFIRMATION
450010006,00070,SUP1002,MAT1002,PL03,170,170,2026-09-25,2026-09-26,OPEN,CONFIRMED,6,MULTIPLE_CHANGES
450010007,00080,SUP1006,MAT1008,PL01,289,289,2026-10-05,2026-10-05,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010008,00010,SUP1004,MAT1001,PL03,870,870,2026-10-09,2026-10-08,OPEN,CONFIRMED,1,STABLE
450010009,00020,SUP1003,MAT1008,PL04,918,918,2026-09-30,2026-09-30,OPEN,CONFIRMED,0,CHRONIC_LATE
450010010,00030,SUP1001,MAT1003,PL04,312,312,2026-09-28,2026-09-29,OPEN,CONFIRMED,0,RECENT_DETERIORATION
450010011,00040,SUP1008,MAT1007,PL03,986,986,2026-10-02,2026-10-02,OPEN,CONFIRMED,1,NEW_SUPPLIER
450010012,00050,SUP1007,MAT1008,PL03,883,883,2026-10-15,2026-10-16,OPEN,CONFIRMED,0,HIGH_IMPACT
450010013,00060,SUP1005,MAT1007,PL01,525,387,2026-10-01,2026-10-02,OPEN,CONFIRMED,1,PARTIAL_CONFIRMATION
450010014,00070,SUP1002,MAT1002,PL04,289,289,2026-10-04,2026-10-05,OPEN,CONFIRMED,3,MULTIPLE_CHANGES
450010015,00080,SUP1006,MAT1009,PL03,60,60,2026-09-23,2026-09-22,OPEN,CONFIRMED,0,NORMAL_VARIANCE
450010016,00010,SUP1004,MAT1001,PL03,953,953,2026-10-04,2026-10-04,OPEN,CONFIRMED,1,STABLE
450010017,00020,SUP1003,MAT1002,PL04,261,261,2026-09-22,2026-09-22,OPEN,CONFIRMED,0,CHRONIC_LATE
450010018,00030,SUP1001,MAT1001,PL01,708,708,2026-10-10,2026-10-11,OPEN,CONFIRMED,1,RECENT_DETERIORATION
450010019,00040,SUP1008,MAT1004,PL02,368,368,2026-10-13,2026-10-13,OPEN,CONFIRMED,1,NEW_SUPPLIER
450010020,00050,SUP1007,MAT1007,PL01,229,229,2026-09-28,2026-09-29,OPEN,CONFIRMED,1,HIGH_IMPACT
450010021,00060,SUP1005,MAT1005,PL01,430,271,2026-10-11,2026-10-12,OPEN,CONFIRMED,1,PARTIAL_CONFIRMATION
450010022,00070,SUP1002,MAT1010,PL03,442,442,2026-10-15,2026-10-16,OPEN,CONFIRMED,2,MULTIPLE_CHANGES
450010023,00080,SUP1006,MAT1006,PL01,162,162,2026-09-25,2026-09-25,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010024,00010,SUP1004,MAT1006,PL04,256,256,2026-10-01,2026-10-01,OPEN,CONFIRMED,0,STABLE
450010025,00020,SUP1003,MAT1001,PL02,291,291,2026-09-24,2026-09-24,OPEN,CONFIRMED,1,CHRONIC_LATE
450010026,00030,SUP1001,MAT1009,PL03,113,113,2026-10-08,2026-10-09,OPEN,CONFIRMED,0,RECENT_DETERIORATION
450010027,00040,SUP1008,MAT1006,PL02,346,346,2026-10-15,2026-10-14,OPEN,CONFIRMED,1,NEW_SUPPLIER
450010028,00050,SUP1007,MAT1005,PL04,88,88,2026-09-30,2026-10-01,OPEN,CONFIRMED,0,HIGH_IMPACT
450010029,00060,SUP1005,MAT1005,PL03,199,144,2026-10-11,2026-10-11,OPEN,CONFIRMED,0,PARTIAL_CONFIRMATION
450010030,00070,SUP1002,MAT1008,PL01,879,879,2026-10-11,2026-10-13,OPEN,CONFIRMED,4,MULTIPLE_CHANGES
450010031,00080,SUP1006,MAT1009,PL01,341,341,2026-10-01,2026-10-01,OPEN,CONFIRMED,1,NORMAL_VARIANCE
450010032,00010,SUP1004,MAT1005,PL01,230,230,2026-10-10,2026-10-10,OPEN,CONFIRMED,1,STABLE
450010033,00020,SUP1003,MAT1009,PL01,212,212,2026-10-08,2026-10-08,OPEN,CONFIRMED,1,CHRONIC_LATE
450010034,00030,SUP1001,MAT1002,PL02,963,963,2026-10-11,2026-10-12,OPEN,CONFIRMED,1,RECENT_DETERIORATION
