batch_id,material_id,plant_id,batch_qty,manufacture_date,expiry_date,days_to_expiry,expired
B20000,MAT2005,PL04,583,2024-12-29,2025-12-29,0,Y
B20001,MAT2005,PL01,253,2025-04-29,2027-04-29,225,N
B20002,MAT2002,PL04,51,2024-12-08,2026-12-08,83,N
B20003,MAT2001,PL04,542,2026-02-12,2027-02-12,149,N
B20004,MAT2010,PL01,563,2023-10-04,2024-04-01,0,Y
B20005,MAT2010,PL02,56,2024-10-21,2025-04-19,0,Y
B20006,MAT2002,PL04,22,2025-05-29,2026-05-29,0,Y
B20007,MAT2006,PL04,196,2025-01-29,2026-01-29,0,Y
B20008,MAT2006,PL03,527,2023-11-18,2024-11-17,0,Y
B20009,MAT2004,PL03,101,2025-10-14,2027-10-14,393,N
B20010,MAT2001,PL02,559,2026-03-26,2028-03-25,556,N
B20011,MAT2010,PL01,295,2024-05-12,2025-05-12,0,Y
B20012,MAT2007,PL01,516,2024-10-14,2026-10-14,28,N
B20013,MAT2008,PL04,197,2024-11-13,2025-02-11,0,Y
B20014,MAT2004,PL01,106,2025-01-08,2025-04-08,0,Y
B20015,MAT2009,PL04,477,2025-01-11,2025-07-10,0,Y
B20016,MAT2004,PL02,590,2026-03-21,2028-03-20,551,N
B20017,MAT2004,PL02,254,2025-10-24,2026-10-24,38,N
B20018,MAT2003,PL02,41,2023-12-15,2024-06-12,0,Y
B20019,MAT2001,PL03,545,2023-11-16,2024-11-15,0,Y
B20020,MAT2001,PL01,286,2026-05-17,2028-05-16,608,N
B20021,MAT2004,PL02,46,2024-10-19,2025-01-17,0,Y
B20022,MAT2008,PL01,74,2023-10-06,2024-10-05,0,Y
B20023,MAT2006,PL04,198,2023-11-23,2025-11-22,0,Y
B20024,MAT2008,PL04,358,2025-05-25,2026-05-25,0,Y
B20025,MAT2005,PL03,666,2025-03-03,2025-06-01,0,Y
B20026,MAT2007,PL01,440,2025-02-23,2025-05-24,0,Y
B20027,MAT2009,PL03,445,2026-05-23,2026-11-19,64,N
B20028,MAT2010,PL01,462,2025-07-30,2025-10-28,0,Y
B20029,MAT2006,PL01,360,2024-04-19,2026-04-19,0,Y
B20030,MAT2006,PL01,407,2024-05-26,2026-05-26,0,Y
B20031,MAT2008,PL02,315,2023-11-05,2024-02-03,0,Y
B20032,MAT2008,PL01,272,2025-07-01,2027-07-01,288,N
B20033,MAT2005,PL02,195,2025-12-22,2026-12-22,97,N
B20034,MAT2004,PL04,550,2026-01-05,2026-07-04,0,Y
B20035,MAT2006,PL04,436,2025-12-22,2026-12-22,97,N
B20036,MAT2004,PL01,635,2025-09-28,2027-09-28,377,N
B20037,MAT2003,PL04,566,2024-11-18,2026-11-18,63,N
B20038,MAT2008,PL01,279,2024-05-02,2025-05-02,0,Y
B20039,MAT2005,PL03,141,2025-03-08,2025-06-06,0,Y
B20040,MAT2007,PL03,333,2024-08-06,2025-08-06,0,Y
B20041,MAT2001,PL01,183,2024-12-04,2026-12-04,79,N
B20042,MAT2002,PL03,327,2024-11-16,2025-05-15,0,Y
B20043,MAT2006,PL01,42,2025-07-10,2026-01-06,0,Y
B20044,MAT2009,PL01,448,2025-11-28,2027-11-28,438,N
B20045,MAT2008,PL01,27,2026-03-20,2026-09-16,0,Y
B20046,MAT2001,PL04,166,2025-04-06,2025-07-05,0,Y
B20047,MAT2006,PL02,524,2024-01-09,2025-01-08,0,Y
B20048,MAT2005,PL01,414,2024-07-18,2024-10-16,0,Y
B20049,MAT2010,PL02,452,2026-04-06,2026-07-05,0,Y
B20050,MAT2004,PL03,388,2026-03-22,2028-03-21,552,N
B20051,MAT2004,PL01,410,2025-09-23,2025-12-22,0,Y
B20052,MAT2004,PL03,656,2024-11-21,2025-05-20,0,Y
B20053,MAT2006,PL02,687,2026-04-12,2027-04-12,208,N
B20054,MAT2007,PL04,613,2026-08-08,2026-11-06,51,N
B20055,MAT2003,PL01,282,2024-05-21,2026-05-21,0,Y
B20056,MAT2002,PL03,644,2025-03-14,2025-06-12,0,Y
B20057,MAT2010,PL02,36,2025-11-27,2026-11-27,72,N
B20058,MAT2004,PL03,206,2024-04-23,2025-04-23,0,Y
B20059,MAT2008,PL02,18,2024-01-28,2026-01-27,0,Y
B20060,MAT2003,PL02,384,2025-08-28,2026-08-28,0,Y
B20061,MAT2010,PL03,363,2026-03-03,2026-08-30,0,Y
B20062,MAT2004,PL03,535,2025-11-06,2027-11-06,416,N
B20063,MAT2008,PL04,285,2026-03-19,2028-03-18,549,N
B20064,MAT2010,PL04,439,2024-09-14,2026-09-14,0,Y
B20065,MAT2005,PL03,216,2025-07-20,2026-01-16,0,Y
B20066,MAT2008,PL04,347,2024-11-14,2026-11-14,59,N
B20067,MAT2009,PL04,641,2024-01-01,2024-06-29,0,Y
B20068,MAT2002,PL01,158,2026-07-01,2027-07-01,288,N
B20069,MAT2006,PL01,205,2025-10-11,2026-10-11,25,N
B20070,MAT2004,PL04,81,2026-06-08,2027-06-08,265,N
B20071,MAT2007,PL01,527,2024-10-21,2025-01-19,0,Y
B20072,MAT2010,PL04,207,2024-03-18,2024-09-14,0,Y
B20073,MAT2003,PL01,567,2025-04-27,2026-04-27,0,Y
B20074,MAT2009,PL01,87,2026-07-23,2028-07-22,675,N
B20075,MAT2008,PL03,254,2025-02-26,2026-02-26,0,Y
B20076,MAT2007,PL01,605,2024-05-01,2024-10-28,0,Y
B20077,MAT2005,PL03,370,2026-05-29,2028-05-28,620,N
B20078,MAT2005,PL03,22,2024-08-16,2025-08-16,0,Y
B20079,MAT2002,PL03,178,2025-03-07,2027-03-07,172,N
B20080,MAT2008,PL01,273,2025-05-04,2025-10-31,0,Y
B20081,MAT2010,PL04,353,2025-03-06,2025-09-02,0,Y
B20082,MAT2004,PL02,276,2026-06-25,2026-09-23,7,N
B20083,MAT2005,PL04,615,2024-05-15,2024-11-11,0,Y
B20084,MAT2004,PL01,337,2025-09-06,2026-03-05,0,Y
B20085,MAT2007,PL04,459,2025-03-24,2026-03-24,0,Y
B20086,MAT2010,PL01,378,2025-06-03,2025-09-01,0,Y
B20087,MAT2006,PL03,532,2024-03-09,2024-06-07,0,Y
B20088,MAT2009,PL01,170,2023-10-27,2024-01-25,0,Y
B20089,MAT2009,PL03,413,2024-12-07,2025-12-07,0,Y
B20090,MAT2004,PL03,325,2025-02-13,2025-05-14,0,Y
B20091,MAT2002,PL04,610,2023-09-14,2024-03-12,0,Y
B20092,MAT2001,PL01,690,2024-04-02,2024-07-01,0,Y
B20093,MAT2009,PL01,421,2024-09-30,2025-09-30,0,Y
B20094,MAT2010,PL01,616,2024-03-31,2025-03-31,0,Y
B20095,MAT2006,PL02,290,2024-06-09,2024-12-06,0,Y
B20096,MAT2005,PL01,255,2026-03-14,2028-03-13,544,N
B20097,MAT2009,PL03,377,2025-01-25,2026-01-25,0,Y
B20098,MAT2001,PL01,571,2025-03-24,2025-06-22,0,Y
B20099,MAT2007,PL03,93,2025-08-01,2027-08-01,319,N
B20100,MAT2005,PL03,136,2024-11-27,2025-05-26,0,Y
B20101,MAT2001,PL03,333,2024-10-17,2025-01-15,0,Y
B20102,MAT2005,PL03,255,2024-03-29,2024-09-25,0,Y
B20103,MAT2006,PL03,379,2026-07-29,2027-01-25,131,N
B20104,MAT2009,PL02,446,2024-05-02,2024-07-31,0,Y
B20105,MAT2007,PL01,405,2024-04-15,2024-07-14,0,Y
B20106,MAT2004,PL04,350,2026-06-10,2028-06-09,632,N
B20107,MAT2010,PL02,635,2023-11-10,2025-11-09,0,Y
B20108,MAT2010,PL01,625,2025-04-20,2027-04-20,216,N
B20109,MAT2003,PL02,530,2025-10-04,2026-01-02,0,Y
B20110,MAT2004,PL03,324,2023-12-26,2025-12-25,0,Y
B20111,MAT2008,PL04,296,2024-05-15,2024-08-13,0,Y
