stock_id,plant_id,material_id,physical_qty,blocked_qty,quality_hold_qty,reserved_qty,wrong_location_qty,expired_qty,calculated_usable_qty,storage_location,demo_scenario
STK100000,PL01,MAT2007,1090,655,0,0,0,0,435,B02,BLOCKED
STK100001,PL02,MAT2007,567,0,368,0,0,0,199,B02,QUALITY_HOLD
STK100002,PL01,MAT2002,1092,0,0,637,0,0,455,C03,RESERVED
STK100003,PL03,MAT2001,1295,0,0,0,694,0,601,B02,WRONG_LOCATION
STK100004,PL04,MAT2001,328,0,0,0,0,167,161,QH1,EXPIRED
STK100005,PL03,MAT2009,1236,0,0,0,0,286,950,B02,SHELF_LIFE_RISK
STK100006,PL03,MAT2007,966,0,0,0,0,0,966,B02,USABLE
STK100007,PL03,MAT2007,337,50,0,50,0,0,237,C03,DUPLICATE_STOCK
STK100008,PL01,MAT2005,1222,0,0,1405,0,0,0,A01,NEGATIVE_AVAILABLE
STK100009,PL03,MAT2009,1106,221,165,276,110,0,334,A01,MIXED
STK100010,PL03,MAT2002,967,498,0,0,0,0,469,EXT,BLOCKED
STK100011,PL03,MAT2010,151,0,54,0,0,0,97,B02,QUALITY_HOLD
STK100012,PL01,MAT2002,350,0,0,251,0,0,99,B02,RESERVED
STK100013,PL02,MAT2005,1145,0,0,0,483,0,662,A01,WRONG_LOCATION
STK100014,PL04,MAT2007,706,0,0,0,0,311,395,QH1,EXPIRED
STK100015,PL01,MAT2001,1090,0,0,0,0,224,866,C03,SHELF_LIFE_RISK
STK100016,PL04,MAT2001,1160,0,0,0,0,0,1160,QH1,USABLE
STK100017,PL02,MAT2008,122,18,0,18,0,0,86,EXT,DUPLICATE_STOCK
STK100018,PL02,MAT2010,962,0,0,1106,0,0,0,C03,NEGATIVE_AVAILABLE
STK100019,PL03,MAT2009,47,9,7,11,4,0,16,QH1,MIXED
STK100020,PL03,MAT2008,376,190,0,0,0,0,186,QH1,BLOCKED
STK100021,PL01,MAT2005,1228,0,768,0,0,0,460,QH1,QUALITY_HOLD
STK100022,PL03,MAT2007,630,0,0,254,0,0,376,B02,RESERVED
STK100023,PL04,MAT2002,175,0,0,0,69,0,106,EXT,WRONG_LOCATION
STK100024,PL02,MAT2004,1483,0,0,0,0,1003,480,A01,EXPIRED
STK100025,PL03,MAT2003,491,0,0,0,0,125,366,C03,SHELF_LIFE_RISK
STK100026,PL02,MAT2001,1248,0,0,0,0,0,1248,C03,USABLE
STK100027,PL01,MAT2007,1040,156,0,156,0,0,728,B02,DUPLICATE_STOCK
STK100028,PL03,MAT2006,965,0,0,1109,0,0,0,A01,NEGATIVE_AVAILABLE
STK100029,PL03,MAT2006,999,199,149,249,99,0,303,BLK,MIXED
STK100030,PL01,MAT2001,1493,1169,0,0,0,0,324,A01,BLOCKED
STK100031,PL01,MAT2002,457,0,362,0,0,0,95,EXT,QUALITY_HOLD
STK100032,PL03,MAT2007,820,0,0,577,0,0,243,QH1,RESERVED
STK100033,PL01,MAT2005,600,0,0,0,237,0,363,BLK,WRONG_LOCATION
STK100034,PL02,MAT2003,521,0,0,0,0,282,239,QH1,EXPIRED
STK100035,PL02,MAT2002,311,0,0,0,0,58,253,QH1,SHELF_LIFE_RISK
STK100036,PL04,MAT2009,871,0,0,0,0,0,871,B02,USABLE
STK100037,PL03,MAT2007,95,14,0,14,0,0,67,EXT,DUPLICATE_STOCK
STK100038,PL04,MAT2006,361,0,0,415,0,0,0,EXT,NEGATIVE_AVAILABLE
STK100039,PL03,MAT2004,260,52,39,65,26,0,78,C03,MIXED
STK100040,PL04,MAT2008,223,162,0,0,0,0,61,EXT,BLOCKED
STK100041,PL02,MAT2007,802,0,492,0,0,0,310,A01,QUALITY_HOLD
STK100042,PL04,MAT2008,1180,0,0,942,0,0,238,QH1,RESERVED
STK100043,PL03,MAT2008,308,0,0,0,132,0,176,B02,WRONG_LOCATION
STK100044,PL03,MAT2008,510,0,0,0,0,389,121,BLK,EXPIRED
STK100045,PL04,MAT2003,365,0,0,0,0,106,259,EXT,SHELF_LIFE_RISK
STK100046,PL03,MAT2002,1238,0,0,0,0,0,1238,B02,USABLE
STK100047,PL04,MAT2006,1231,184,0,184,0,0,863,A01,DUPLICATE_STOCK
STK100048,PL04,MAT2005,1029,0,0,1183,0,0,0,EXT,NEGATIVE_AVAILABLE
STK100049,PL02,MAT2003,1284,256,192,321,128,0,387,BLK,MIXED
STK100050,PL03,MAT2003,1320,737,0,0,0,0,583,B02,BLOCKED
STK100051,PL03,MAT2004,976,0,379,0,0,0,597,B02,QUALITY_HOLD
STK100052,PL01,MAT2010,464,0,0,165,0,0,299,BLK,RESERVED
STK100053,PL01,MAT2006,1114,0,0,0,674,0,440,QH1,WRONG_LOCATION
STK100054,PL01,MAT2002,172,0,0,0,0,107,65,BLK,EXPIRED
STK100055,PL03,MAT2010,320,0,0,0,0,79,241,A01,SHELF_LIFE_RISK
STK100056,PL03,MAT2002,1285,0,0,0,0,0,1285,B02,USABLE
STK100057,PL04,MAT2006,115,17,0,17,0,0,81,B02,DUPLICATE_STOCK
STK100058,PL03,MAT2007,336,0,0,386,0,0,0,A01,NEGATIVE_AVAILABLE
STK100059,PL04,MAT2004,1016,203,152,254,101,0,306,BLK,MIXED
STK100060,PL04,MAT2009,1402,744,0,0,0,0,658,QH1,BLOCKED
STK100061,PL01,MAT2003,1437,0,789,0,0,0,648,QH1,QUALITY_HOLD
STK100062,PL01,MAT2006,72,0,0,42,0,0,30,C03,RESERVED
STK100063,PL04,MAT2004,786,0,0,0,360,0,426,EXT,WRONG_LOCATION
STK100064,PL02,MAT2002,963,0,0,0,0,509,454,BLK,EXPIRED
STK100065,PL01,MAT2004,1252,0,0,0,0,278,974,A01,SHELF_LIFE_RISK
STK100066,PL02,MAT2007,917,0,0,0,0,0,917,C03,USABLE
STK100067,PL04,MAT2010,618,92,0,92,0,0,434,BLK,DUPLICATE_STOCK
STK100068,PL02,MAT2003,1366,0,0,1570,0,0,0,A01,NEGATIVE_AVAILABLE
STK100069,PL01,MAT2010,95,19,14,23,9,0,30,A01,MIXED
STK100070,PL02,MAT2001,253,99,0,0,0,0,154,B02,BLOCKED
STK100071,PL03,MAT2005,509,0,305,0,0,0,204,B02,QUALITY_HOLD
STK100072,PL03,MAT2010,324,0,0,180,0,0,144,QH1,RESERVED
STK100073,PL04,MAT2001,1492,0,0,0,650,0,842,EXT,WRONG_LOCATION
STK100074,PL03,MAT2010,550,0,0,0,0,422,128,EXT,EXPIRED
STK100075,PL02,MAT2005,1370,0,0,0,0,360,1010,B02,SHELF_LIFE_RISK
STK100076,PL02,MAT2005,1476,0,0,0,0,0,1476,QH1,USABLE
STK100077,PL03,MAT2009,1483,222,0,222,0,0,1039,A01,DUPLICATE_STOCK
