requirement_id,plant_id,material_id,requirement_date,required_qty,requirement_status,linked_po_number,requirement_type
REQ1001,PL01,MAT1001,2026-10-15,35,OPEN,45001001,PRODUCTION_ORDER
REQ1002,PL01,MAT1002,2026-09-25,50,OPEN,45001002,PRODUCTION_ORDER
REQ1003,PL02,MAT1003,2026-10-10,80,OPEN,45001003,PRODUCTION_ORDER
REQ1004,PL03,MAT1005,2026-06-15,0,CANCELLED,,SALES_ORDER
REQ1005,PL01,MAT1004,2026-06-01,0,CANCELLED,45001005,SALES_ORDER
REQ1006,PL02,MAT1006,2026-02-20,0,CLOSED,45001006,MAINTENANCE
REQ1007,PL01,MAT1001,2026-09-20,60,OPEN,45001007,PRODUCTION_ORDER
REQ1008,PL02,MAT1002,2026-09-30,20,OPEN,45001008,PRODUCTION_ORDER
REQ1009,PL03,MAT1005,2026-06-10,40,OPEN,45001009,PRODUCTION_ORDER
REQ1010,PL02,MAT1003,2026-11-15,150,OPEN,45001010,FORECAST
REQ1011,PL01,MAT1001,2026-03-20,0,CANCELLED,45001011,SALES_ORDER
REQ1012,PL01,MAT1004,2026-08-20,300,OPEN,45001012,SALES_ORDER
