po_number,item,supplier_id,confirmed_delivery_date,confirmed_qty,confirmation_status,last_confirmation_update
45001001,10,SUP1001,2026-08-25,60,CONFIRMED,2026-07-20
45001002,10,SUP1002,2026-09-30,50,CONFIRMED,2026-04-28
45001003,10,SUP1003,2026-07-20,80,CONFIRMED,2026-07-01
45001004,10,SUP1004,,0,NO_CONFIRMATION,
45001006,10,SUP1006,,0,NO_CONFIRMATION,
45001007,10,SUP1001,2026-08-30,60,CONFIRMED,2026-08-01
45001008,10,SUP1002,2026-09-30,20,CONFIRMED,2026-08-15
45001009,10,SUP1004,,0,NO_CONFIRMATION,
45001010,10,SUP1003,2026-05-01,150,CONFIRMED,2026-04-15
45001011,10,SUP1001,2026-03-20,30,CONFIRMED,2026-03-15
45001012,10,SUP1005,2026-08-20,300,CONFIRMED,2026-08-01
