source_plant,destination_plant,distance_km,base_freight_cost,transit_days,mode
PL04,PL02,799,1971.51,6,Rail
PL05,PL02,620,5154.36,6,Air
PL02,PL01,1239,3577.58,1,Air
PL04,PL06,1927,5677.63,7,Air
PL03,PL05,636,2964.93,6,Road
PL01,PL06,259,3119.02,2,Road
PL02,PL01,449,2568.76,5,Rail
PL03,PL05,919,5636.81,5,Air
PL02,PL03,1742,2575.08,3,Rail
PL06,PL02,679,5188.25,6,Road
PL03,PL01,1584,3776.65,4,Road
PL04,PL03,362,2401.5,7,Air
PL02,PL06,1641,6551.38,3,Rail
PL06,PL04,1214,6872.29,4,Road
PL02,PL06,1697,4882.56,5,Rail
PL04,PL05,528,3925.52,1,Road
PL03,PL01,650,4022.23,6,Air
PL01,PL05,1478,3683.49,2,Rail
PL04,PL05,1951,5798.53,6,Road
PL06,PL05,940,8146.9,3,Air
PL02,PL05,741,2888.55,6,Rail
PL02,PL04,774,7415.69,6,Air
PL06,PL02,533,1343.58,4,Rail
PL01,PL04,1360,1858.03,2,Road
PL02,PL05,658,1257.13,7,Road
PL01,PL04,1526,4635.15,4,Road
PL03,PL02,1005,7346.91,7,Rail
PL02,PL01,1536,6576.87,1,Rail
PL05,PL04,1895,4570.52,3,Road
PL03,PL04,477,6021.74,4,Air
PL01,PL02,474,6725.2,4,Rail
PL04,PL03,1741,3186.62,3,Air
PL03,PL02,1608,3886.98,4,Road
PL04,PL05,1321,4198.97,6,Road
PL02,PL05,204,5019.49,6,Rail
PL01,PL03,904,6957.07,6,Rail
PL01,PL04,1179,8295.62,2,Road
PL03,PL04,1098,5966.08,7,Rail
PL05,PL03,562,6159.26,4,Road
PL02,PL06,1912,7978.37,6,Road
PL04,PL02,1019,8367.58,3,Air
PL02,PL03,1052,3930.84,5,Road
PL05,PL02,1409,4004.31,2,Rail
PL03,PL04,734,2506.52,5,Road
PL03,PL01,1376,8006.48,1,Rail
PL02,PL05,949,3966.03,2,Air
PL05,PL02,1121,6052.99,6,Air
PL04,PL05,1570,1825.0,6,Road
PL06,PL01,1047,7519.31,5,Air
PL06,PL02,1213,3624.52,4,Rail
PL02,PL05,536,6149.63,4,Air
PL06,PL03,1161,4989.76,7,Air
PL01,PL04,1283,2139.45,4,Rail
PL03,PL05,1023,6854.29,1,Road
PL01,PL02,857,3328.44,1,Road
PL01,PL05,989,5020.31,6,Rail
PL01,PL04,1010,3929.31,4,Rail
PL02,PL06,1502,8350.55,3,Rail
PL01,PL05,1018,4143.84,3,Road
PL06,PL03,1541,1850.5,7,Road
PL06,PL01,834,4536.38,7,Rail
PL03,PL02,337,5843.53,3,Rail
PL06,PL04,1426,3161.06,2,Air
PL06,PL01,360,3722.62,5,Air
PL05,PL02,844,5534.32,7,Road
PL05,PL03,475,6334.72,3,Air
PL05,PL03,963,5287.33,3,Air
PL01,PL06,1289,4721.14,6,Air
PL02,PL04,653,1585.42,1,Air
PL03,PL06,1908,6031.0,5,Road
PL05,PL02,1908,5179.82,3,Rail
PL01,PL02,1659,5723.38,4,Air
PL03,PL01,1886,5218.83,5,Air
PL04,PL05,1201,3651.79,2,Air
PL06,PL04,1710,5414.64,2,Road
PL03,PL05,1720,5714.12,5,Air
PL01,PL03,1110,3599.96,6,Air
PL05,PL01,1550,6083.08,5,Road
PL01,PL04,501,5632.24,7,Rail
PL01,PL05,573,5144.16,2,Rail
