transfer_option_id,material_id,source_plant,destination_plant,candidate_qty,inventory_value_moved,estimated_net_benefit,ground_truth_action
TR70000,MAT3001,PL01,PL02,458,38930.0,17193.15,TRANSFER_RECOMMENDED
TR70001,MAT3002,PL02,PL03,205,24600.0,2357.29,TRANSFER_RECOMMENDED
TR70002,MAT3003,PL03,PL04,407,26455.0,30773.84,TRANSFER_RECOMMENDED
TR70003,MAT3004,PL04,PL01,453,9966.0,5040.49,TRANSFER_RECOMMENDED
TR70004,MAT3005,PL05,PL02,165,6600.0,25690.69,TRANSFER_RECOMMENDED
TR70005,MAT3006,PL06,PL03,283,5094.0,16692.89,TRANSFER_RECOMMENDED
TR70006,MAT3007,PL01,PL05,267,38715.0,17182.44,TRANSFER_RECOMMENDED
TR70007,MAT3008,PL02,PL06,239,717.0,20285.24,TRANSFER_RECOMMENDED
TR70008,MAT3009,PL03,PL01,313,17215.0,25389.93,TRANSFER_RECOMMENDED
TR70009,MAT3010,PL04,PL02,335,10720.0,9169.77,TRANSFER_RECOMMENDED
