po_number,po_item,material_id,plant_id,next_30d_demand,available_stock,projected_shortage,stock_to_demand_ratio,days_until_material_shortage
450010000,00010,MAT1008,PL01,363,705,0,1.94,24
450010001,00020,MAT1003,PL03,301,603,0,2.0,7
450010002,00030,MAT1006,PL01,1132,673,459,0.59,19
450010003,00040,MAT1002,PL04,476,346,130,0.73,19
450010004,00050,MAT1004,PL01,1161,23,1138,0.02,3
450010005,00060,MAT1002,PL04,222,314,0,1.41,15
450010006,00070,MAT1002,PL03,302,111,191,0.37,26
450010007,00080,MAT1008,PL01,821,858,0,1.05,22
450010008,00010,MAT1001,PL03,242,744,0,3.07,25
450010009,00020,MAT1008,PL04,727,1034,0,1.42,28
450010010,00030,MAT1003,PL04,864,122,742,0.14,18
450010011,00040,MAT1007,PL03,1332,695,637,0.52,24
450010012,00050,MAT1008,PL03,983,141,842,0.14,13
450010013,00060,MAT1007,PL01,318,785,0,2.47,27
450010014,00070,MAT1002,PL04,1496,280,1216,0.19,22
450010015,00080,MAT1009,PL03,1323,1000,323,0.76,15
450010016,00010,MAT1001,PL03,344,554,0,1.61,23
450010017,00020,MAT1002,PL04,967,465,502,0.48,7
450010018,00030,MAT1001,PL01,1012,514,498,0.51,14
450010019,00040,MAT1004,PL02,1413,10,1403,0.01,7
450010020,00050,MAT1007,PL01,1993,45,1948,0.02,7
450010021,00060,MAT1005,PL01,172,368,0,2.14,16
450010022,00070,MAT1010,PL03,108,206,0,1.91,23
450010023,00080,MAT1006,PL01,970,726,244,0.75,29
450010024,00010,MAT1006,PL04,419,1076,0,2.57,11
450010025,00020,MAT1001,PL02,1394,939,455,0.67,7
450010026,00030,MAT1009,PL03,393,650,0,1.65,15
450010027,00040,MAT1006,PL02,428,312,116,0.73,27
450010028,00050,MAT1005,PL04,984,108,876,0.11,13
450010029,00060,MAT1005,PL03,117,779,0,6.66,6
450010030,00070,MAT1008,PL01,430,227,203,0.53,6
450010031,00080,MAT1009,PL01,208,665,0,3.2,26
450010032,00010,MAT1005,PL01,522,935,0,1.79,16
450010033,00020,MAT1009,PL01,456,74,382,0.16,23
450010034,00030,MAT1002,PL02,132,506,0,3.83,1
450010035,00040,MAT1001,PL01,1185,1187,0,1.0,10
450010036,00050,MAT1001,PL02,1257,75,1182,0.06,11
450010037,00060,MAT1005,PL02,362,300,62,0.83,17
450010038,00070,MAT1002,PL03,1128,900,228,0.8,15
450010039,00080,MAT1008,PL02,1154,710,444,0.62,11
450010040,00010,MAT1005,PL04,594,622,0,1.05,9
450010041,00020,MAT1003,PL03,1169,222,947,0.19,2
450010042,00030,MAT1010,PL04,787,86,701,0.11,6
450010043,00040,MAT1003,PL01,626,5,621,0.01,7
450010044,00050,MAT1007,PL03,912,134,778,0.15,21
450010045,00060,MAT1002,PL01,928,773,155,0.83,20
450010046,00070,MAT1001,PL04,173,950,0,5.49,10
450010047,00080,MAT1006,PL04,1010,352,658,0.35,12
450010048,00010,MAT1010,PL01,1080,1121,0,1.04,26
450010049,00020,MAT1001,PL02,1116,646,470,0.58,16
450010050,00030,MAT1002,PL02,1451,248,1203,0.17,28
450010051,00040,MAT1002,PL01,1008,739,269,0.73,18
450010052,00050,MAT1003,PL03,1737,14,1723,0.01,22
450010053,00060,MAT1005,PL01,1381,1123,258,0.81,28
450010054,00070,MAT1003,PL03,159,756,0,4.75,28
450010055,00080,MAT1005,PL01,1452,659,793,0.45,27
450010056,00010,MAT1007,PL02,1332,3,1329,0.0,26
450010057,00020,MAT1008,PL02,992,688,304,0.69,6
450010058,00030,MAT1004,PL01,1386,354,1032,0.26,13
450010059,00040,MAT1001,PL04,516,1163,0,2.25,15
450010060,00050,MAT1005,PL04,1082,147,935,0.14,23
450010061,00060,MAT1009,PL01,140,1076,0,7.69,19
450010062,00070,MAT1004,PL04,414,1067,0,2.58,9
450010063,00080,MAT1001,PL01,1496,719,777,0.48,14
450010064,00010,MAT1008,PL01,181,312,0,1.72,2
450010065,00020,MAT1009,PL03,1294,120,1174,0.09,4
450010066,00030,MAT1002,PL04,274,1169,0,4.27,29
450010067,00040,MAT1006,PL01,1100,88,1012,0.08,15
450010068,00050,MAT1001,PL03,821,119,702,0.14,24
450010069,00060,MAT1008,PL01,862,1065,0,1.24,13
450010070,00070,MAT1001,PL02,1199,1011,188,0.84,10
450010071,00080,MAT1008,PL03,999,553,446,0.55,13
450010072,00010,MAT1007,PL04,1219,271,948,0.22,4
450010073,00020,MAT1005,PL01,772,985,0,1.28,5
450010074,00030,MAT1009,PL02,576,800,0,1.39,14
450010075,00040,MAT1002,PL01,948,633,315,0.67,24
450010076,00050,MAT1010,PL03,1134,64,1070,0.06,13
450010077,00060,MAT1006,PL01,1270,601,669,0.47,21
450010078,00070,MAT1006,PL04,685,848,0,1.24,21
450010079,00080,MAT1008,PL04,839,1121,0,1.34,26
450010080,00010,MAT1008,PL01,321,273,48,0.85,28
450010081,00020,MAT1002,PL02,662,372,290,0.56,24
450010082,00030,MAT1002,PL03,943,159,784,0.17,3
450010083,00040,MAT1009,PL03,1231,917,314,0.74,11
450010084,00050,MAT1007,PL02,894,130,764,0.15,19
450010085,00060,MAT1007,PL02,1280,743,537,0.58,23
450010086,00070,MAT1009,PL02,581,345,236,0.59,8
450010087,00080,MAT1007,PL02,262,332,0,1.27,8
450010088,00010,MAT1008,PL04,1159,255,904,0.22,5
450010089,00020,MAT1002,PL02,1126,645,481,0.57,7
450010090,00030,MAT1007,PL02,1088,259,829,0.24,23
450010091,00040,MAT1002,PL02,145,708,0,4.88,18
450010092,00050,MAT1010,PL03,1584,56,1528,0.04,7
450010093,00060,MAT1009,PL04,896,907,0,1.01,29
450010094,00070,MAT1006,PL03,604,567,37,0.94,14
450010095,00080,MAT1004,PL04,1304,1155,149,0.89,19
450010096,00010,MAT1007,PL04,1251,100,1151,0.08,23
450010097,00020,MAT1003,PL04,1234,857,377,0.69,17
450010098,00030,MAT1010,PL04,1359,784,575,0.58,25
450010099,00040,MAT1003,PL04,352,798,0,2.27,13
450010100,00050,MAT1008,PL01,1058,126,932,0.12,15
450010101,00060,MAT1010,PL02,100,1175,0,11.75,8
450010102,00070,MAT1007,PL01,974,585,389,0.6,27
450010103,00080,MAT1007,PL01,1249,932,317,0.75,19
450010104,00010,MAT1008,PL01,267,1102,0,4.13,2
450010105,00020,MAT1004,PL01,737,455,282,0.62,12
450010106,00030,MAT1009,PL04,1468,277,1191,0.19,17
450010107,00040,MAT1010,PL03,405,1093,0,2.7,22
450010108,00050,MAT1003,PL04,1091,22,1069,0.02,12
450010109,00060,MAT1007,PL03,1340,143,1197,0.11,17
450010110,00070,MAT1001,PL02,586,55,531,0.09,18
450010111,00080,MAT1008,PL01,1085,1151,0,1.06,15
450010112,00010,MAT1006,PL01,555,1025,0,1.85,8
450010113,00020,MAT1006,PL01,1055,1132,0,1.07,1
450010114,00030,MAT1004,PL02,1395,246,1149,0.18,14
450010115,00040,MAT1005,PL03,461,173,288,0.38,21
450010116,00050,MAT1008,PL01,1696,72,1624,0.04,29
450010117,00060,MAT1006,PL03,818,186,632,0.23,10
450010118,00070,MAT1005,PL01,794,124,670,0.16,7
450010119,00080,MAT1008,PL03,383,1167,0,3.05,12
450010120,00010,MAT1005,PL03,1330,661,669,0.5,15
450010121,00020,MAT1002,PL02,1414,830,584,0.59,7
450010122,00030,MAT1006,PL01,494,799,0,1.62,1
450010123,00040,MAT1003,PL03,313,89,224,0.28,21
450010124,00050,MAT1005,PL01,1587,111,1476,0.07,21
450010125,00060,MAT1009,PL02,328,1049,0,3.2,6
450010126,00070,MAT1005,PL03,899,670,229,0.75,7
450010127,00080,MAT1002,PL03,625,62,563,0.1,14
450010128,00010,MAT1010,PL03,1047,370,677,0.35,16
450010129,00020,MAT1009,PL04,1434,281,1153,0.2,9
450010130,00030,MAT1003,PL04,267,650,0,2.43,6
450010131,00040,MAT1005,PL01,1296,349,947,0.27,20
450010132,00050,MAT1008,PL03,1462,25,1437,0.02,1
450010133,00060,MAT1010,PL01,216,601,0,2.78,16
450010134,00070,MAT1004,PL02,561,517,44,0.92,13
450010135,00080,MAT1001,PL01,1161,535,626,0.46,25
450010136,00010,MAT1004,PL02,403,239,164,0.59,12
450010137,00020,MAT1010,PL03,214,805,0,3.76,12
450010138,00030,MAT1005,PL04,612,640,0,1.05,3
450010139,00040,MAT1006,PL01,627,1166,0,1.86,19
450010140,00050,MAT1009,PL01,1923,70,1853,0.04,27
450010141,00060,MAT1008,PL01,673,1109,0,1.65,3
450010142,00070,MAT1009,PL02,547,362,185,0.66,21
450010143,00080,MAT1002,PL03,948,567,381,0.6,8
450010144,00010,MAT1001,PL01,809,322,487,0.4,15
450010145,00020,MAT1007,PL04,575,1066,0,1.85,22
450010146,00030,MAT1004,PL02,345,1128,0,3.27,20
450010147,00040,MAT1005,PL04,590,636,0,1.08,6
450010148,00050,MAT1002,PL04,1222,117,1105,0.1,12
450010149,00060,MAT1001,PL04,1486,1184,302,0.8,14
450010150,00070,MAT1006,PL02,161,815,0,5.06,21
450010151,00080,MAT1006,PL01,1379,1137,242,0.82,19
450010152,00010,MAT1004,PL01,249,299,0,1.2,21
450010153,00020,MAT1010,PL03,950,523,427,0.55,12
450010154,00030,MAT1004,PL01,1093,506,587,0.46,5
450010155,00040,MAT1001,PL04,1471,419,1052,0.28,9
450010156,00050,MAT1007,PL04,991,147,844,0.15,8
450010157,00060,MAT1007,PL04,349,112,237,0.32,18
450010158,00070,MAT1005,PL02,517,901,0,1.74,12
450010159,00080,MAT1008,PL04,991,107,884,0.11,10
