stock_id,plant_id,material_id,phantom_qty,phantom_ratio,usable_30d_coverage,recommended_action,phantom_risk
STK100000,PL01,MAT2007,655,0.601,0.3,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100001,PL02,MAT2007,368,0.649,0.12,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100002,PL01,MAT2002,637,0.583,0.6,VALIDATE_RESERVATION,HIGH
STK100003,PL03,MAT2001,694,0.536,0.76,RELOCATE,HIGH
STK100004,PL04,MAT2001,167,0.509,0.14,REVIEW_DISPOSITION,HIGH
STK100005,PL03,MAT2009,286,0.231,1.12,REVIEW_DISPOSITION,MEDIUM
STK100006,PL03,MAT2007,0,0.0,0.71,NO_ACTION,LOW
STK100007,PL03,MAT2007,100,0.297,0.22,RECONCILE_DUPLICATE,MEDIUM
STK100008,PL01,MAT2005,1222,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100009,PL03,MAT2009,772,0.698,0.22,MULTI_STEP_RECONCILIATION,HIGH
STK100010,PL03,MAT2002,498,0.515,0.4,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100011,PL03,MAT2010,54,0.358,0.08,RELEASE_OR_RESOLVE_STATUS,MEDIUM
STK100012,PL01,MAT2002,251,0.717,0.1,VALIDATE_RESERVATION,HIGH
STK100013,PL02,MAT2005,483,0.422,1.59,RELOCATE,MEDIUM
STK100014,PL04,MAT2007,311,0.441,0.48,REVIEW_DISPOSITION,MEDIUM
STK100015,PL01,MAT2001,224,0.206,1.19,REVIEW_DISPOSITION,MEDIUM
STK100016,PL04,MAT2001,0,0.0,1.66,NO_ACTION,LOW
STK100017,PL02,MAT2008,36,0.295,0.11,RECONCILE_DUPLICATE,MEDIUM
STK100018,PL02,MAT2010,962,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100019,PL03,MAT2009,31,0.66,0.03,MULTI_STEP_RECONCILIATION,HIGH
STK100020,PL03,MAT2008,190,0.505,0.14,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100021,PL01,MAT2005,768,0.625,0.55,RELEASE_OR_RESOLVE_STATUS,HIGH
STK100022,PL03,MAT2007,254,0.403,0.24,VALIDATE_RESERVATION,MEDIUM
STK100023,PL04,MAT2002,69,0.394,0.15,RELOCATE,MEDIUM
STK100024,PL02,MAT2004,1003,0.676,0.33,REVIEW_DISPOSITION,HIGH
STK100025,PL03,MAT2003,125,0.255,0.4,REVIEW_DISPOSITION,MEDIUM
STK100026,PL02,MAT2001,0,0.0,1.48,NO_ACTION,LOW
STK100027,PL01,MAT2007,312,0.3,0.69,RECONCILE_DUPLICATE,MEDIUM
STK100028,PL03,MAT2006,965,1.0,0.0,RECONCILE_OVER_RESERVATION,HIGH
STK100029,PL03,MAT2006,696,0.697,0.19,MULTI_STEP_RECONCILIATION,HIGH
STK100030,PL01,MAT2001,1169,0.783,0.28,RELEASE_OR_RESOLVE_STATUS,HIGH
