po_number,po_item,supplier_id,confirmation_id,confirmation_type,confirmation_timestamp_or_date,confirmed_qty,confirmation_channel
450010000,00010,SUP1004,CONF1000001,AB,2026-09-27,877,EDI
450010001,00020,SUP1003,CONF1000101,AB,2026-10-08,583,EDI
450010002,00030,SUP1001,CONF1000201,AB,2026-10-09,322,EDI
450010003,00040,SUP1008,CONF1000301,AB,2026-10-07,583,EDI
450010004,00050,SUP1007,CONF1000401,AB,2026-09-28,356,EDI
450010005,00060,SUP1005,CONF1000501,AB,2026-09-22,53,EDI
450010005,00060,SUP1005,CONF1000502,CH,2026-09-24,53,PORTAL
450010006,00070,SUP1002,CONF1000601,AB,2026-09-14,170,EDI
450010006,00070,SUP1002,CONF1000602,CH,2026-09-16,170,PORTAL
450010006,00070,SUP1002,CONF1000603,CH,2026-09-18,170,EDI
450010006,00070,SUP1002,CONF1000604,CH,2026-09-20,170,PORTAL
450010006,00070,SUP1002,CONF1000605,CH,2026-09-22,170,EDI
450010006,00070,SUP1002,CONF1000606,CH,2026-09-24,170,PORTAL
450010006,00070,SUP1002,CONF1000607,CH,2026-09-26,170,EDI
450010007,00080,SUP1006,CONF1000701,AB,2026-10-03,289,EDI
450010007,00080,SUP1006,CONF1000702,CH,2026-10-05,289,PORTAL
450010008,00010,SUP1004,CONF1000801,AB,2026-10-06,870,EDI
450010008,00010,SUP1004,CONF1000802,CH,2026-10-08,870,PORTAL
450010009,00020,SUP1003,CONF1000901,AB,2026-09-30,918,EDI
450010010,00030,SUP1001,CONF1001001,AB,2026-09-29,312,EDI
450010011,00040,SUP1008,CONF1001101,AB,2026-09-30,986,EDI
450010011,00040,SUP1008,CONF1001102,CH,2026-10-02,986,PORTAL
450010012,00050,SUP1007,CONF1001201,AB,2026-10-16,883,EDI
450010013,00060,SUP1005,CONF1001301,AB,2026-09-30,387,EDI
450010013,00060,SUP1005,CONF1001302,CH,2026-10-02,387,PORTAL
450010014,00070,SUP1002,CONF1001401,AB,2026-09-29,289,EDI
450010014,00070,SUP1002,CONF1001402,CH,2026-10-01,289,PORTAL
450010014,00070,SUP1002,CONF1001403,CH,2026-10-03,289,EDI
450010014,00070,SUP1002,CONF1001404,CH,2026-10-05,289,PORTAL
450010015,00080,SUP1006,CONF1001501,AB,2026-09-22,60,EDI
450010016,00010,SUP1004,CONF1001601,AB,2026-10-02,953,EDI
450010016,00010,SUP1004,CONF1001602,CH,2026-10-04,953,PORTAL
450010017,00020,SUP1003,CONF1001701,AB,2026-09-22,261,EDI
450010018,00030,SUP1001,CONF1001801,AB,2026-10-09,708,EDI
450010018,00030,SUP1001,CONF1001802,CH,2026-10-11,708,PORTAL
450010019,00040,SUP1008,CONF1001901,AB,2026-10-11,368,EDI
450010019,00040,SUP1008,CONF1001902,CH,2026-10-13,368,PORTAL
450010020,00050,SUP1007,CONF1002001,AB,2026-09-27,229,EDI
450010020,00050,SUP1007,CONF1002002,CH,2026-09-29,229,PORTAL
450010021,00060,SUP1005,CONF1002101,AB,2026-10-10,271,EDI
450010021,00060,SUP1005,CONF1002102,CH,2026-10-12,271,PORTAL
450010022,00070,SUP1002,CONF1002201,AB,2026-10-12,442,EDI
450010022,00070,SUP1002,CONF1002202,CH,2026-10-14,442,PORTAL
450010022,00070,SUP1002,CONF1002203,CH,2026-10-16,442,EDI
450010023,00080,SUP1006,CONF1002301,AB,2026-09-23,162,EDI
450010023,00080,SUP1006,CONF1002302,CH,2026-09-25,162,PORTAL
450010024,00010,SUP1004,CONF1002401,AB,2026-10-01,256,EDI
450010025,00020,SUP1003,CONF1002501,AB,2026-09-22,291,EDI
450010025,00020,SUP1003,CONF1002502,CH,2026-09-24,291,PORTAL
450010026,00030,SUP1001,CONF1002601,AB,2026-10-09,113,EDI
450010027,00040,SUP1008,CONF1002701,AB,2026-10-12,346,EDI
450010027,00040,SUP1008,CONF1002702,CH,2026-10-14,346,PORTAL
450010028,00050,SUP1007,CONF1002801,AB,2026-10-01,88,EDI
450010029,00060,SUP1005,CONF1002901,AB,2026-10-11,144,EDI
450010030,00070,SUP1002,CONF1003001,AB,2026-10-05,879,EDI
450010030,00070,SUP1002,CONF1003002,CH,2026-10-07,879,PORTAL
450010030,00070,SUP1002,CONF1003003,CH,2026-10-09,879,EDI
450010030,00070,SUP1002,CONF1003004,CH,2026-10-11,879,PORTAL
450010030,00070,SUP1002,CONF1003005,CH,2026-10-13,879,EDI
450010031,00080,SUP1006,CONF1003101,AB,2026-09-29,341,EDI
450010031,00080,SUP1006,CONF1003102,CH,2026-10-01,341,PORTAL
450010032,00010,SUP1004,CONF1003201,AB,2026-10-08,230,EDI
450010032,00010,SUP1004,CONF1003202,CH,2026-10-10,230,PORTAL
450010033,00020,SUP1003,CONF1003301,AB,2026-10-06,212,EDI
450010033,00020,SUP1003,CONF1003302,CH,2026-10-08,212,PORTAL
450010034,00030,SUP1001,CONF1003401,AB,2026-10-10,963,EDI
450010034,00030,SUP1001,CONF1003402,CH,2026-10-12,963,PORTAL
450010035,00040,SUP1008,CONF1003501,AB,2026-09-19,904,EDI
450010035,00040,SUP1008,CONF1003502,CH,2026-09-21,904,PORTAL
450010036,00050,SUP1007,CONF1003601,AB,2026-10-07,360,EDI
450010037,00060,SUP1005,CONF1003701,AB,2026-10-02,202,EDI
450010038,00070,SUP1002,CONF1003801,AB,2026-09-29,721,EDI
450010038,00070,SUP1002,CONF1003802,CH,2026-10-01,721,PORTAL
450010038,00070,SUP1002,CONF1003803,CH,2026-10-03,721,EDI
450010038,00070,SUP1002,CONF1003804,CH,2026-10-05,721,PORTAL
450010038,00070,SUP1002,CONF1003805,CH,2026-10-07,721,EDI
450010039,00080,SUP1006,CONF1003901,AB,2026-09-30,445,EDI
450010039,00080,SUP1006,CONF1003902,CH,2026-10-02,445,PORTAL
450010040,00010,SUP1004,CONF1004001,AB,2026-10-02,878,EDI
450010040,00010,SUP1004,CONF1004002,CH,2026-10-04,878,PORTAL
450010041,00020,SUP1003,CONF1004101,AB,2026-09-21,474,EDI
450010041,00020,SUP1003,CONF1004102,CH,2026-09-23,474,PORTAL
450010042,00030,SUP1001,CONF1004201,AB,2026-10-05,991,EDI
450010043,00040,SUP1008,CONF1004301,AB,2026-10-06,941,EDI
450010044,00050,SUP1007,CONF1004401,AB,2026-09-28,404,EDI
450010045,00060,SUP1005,CONF1004501,AB,2026-09-21,137,EDI
450010045,00060,SUP1005,CONF1004502,CH,2026-09-23,137,PORTAL
450010046,00070,SUP1002,CONF1004601,AB,2026-09-30,277,EDI
450010046,00070,SUP1002,CONF1004602,CH,2026-10-02,277,PORTAL
450010046,00070,SUP1002,CONF1004603,CH,2026-10-04,277,EDI
450010046,00070,SUP1002,CONF1004604,CH,2026-10-06,277,PORTAL
