stock_id,plant_id,material_id,next_7d_demand,next_30d_demand,days_until_next_requirement,demand_source
STK100000,PL01,MAT2007,688,1465,30,Maintenance
STK100001,PL02,MAT2007,562,1592,25,Sales
STK100002,PL01,MAT2002,30,758,23,Maintenance
STK100003,PL03,MAT2001,648,795,9,Sales
STK100004,PL04,MAT2001,503,1187,16,Production
STK100005,PL03,MAT2009,494,846,2,Maintenance
STK100006,PL03,MAT2007,645,1358,30,Production
STK100007,PL03,MAT2007,159,1092,6,Production
STK100008,PL01,MAT2005,413,463,29,Sales
STK100009,PL03,MAT2009,676,1536,27,Project
STK100010,PL03,MAT2002,228,1176,21,Maintenance
STK100011,PL03,MAT2010,207,1260,15,Maintenance
STK100012,PL01,MAT2002,352,948,21,Maintenance
STK100013,PL02,MAT2005,266,416,29,Maintenance
STK100014,PL04,MAT2007,379,820,17,Maintenance
STK100015,PL01,MAT2001,677,727,15,Production
STK100016,PL04,MAT2001,109,698,2,Sales
STK100017,PL02,MAT2008,86,755,7,Project
STK100018,PL02,MAT2010,207,1157,5,Production
STK100019,PL03,MAT2009,194,626,6,Maintenance
STK100020,PL03,MAT2008,300,1286,22,Production
STK100021,PL01,MAT2005,455,832,11,Maintenance
STK100022,PL03,MAT2007,217,1547,16,Project
STK100023,PL04,MAT2002,441,685,9,Production
STK100024,PL02,MAT2004,252,1470,18,Project
STK100025,PL03,MAT2003,542,907,15,Sales
STK100026,PL02,MAT2001,0,841,20,Production
STK100027,PL01,MAT2007,69,1050,30,Production
STK100028,PL03,MAT2006,125,205,28,Project
STK100029,PL03,MAT2006,688,1590,4,Project
STK100030,PL01,MAT2001,568,1151,7,Project
STK100031,PL01,MAT2002,330,1502,22,Project
STK100032,PL03,MAT2007,263,1393,1,Maintenance
STK100033,PL01,MAT2005,432,1295,16,Sales
STK100034,PL02,MAT2003,431,454,4,Sales
STK100035,PL02,MAT2002,595,782,16,Production
STK100036,PL04,MAT2009,390,1152,18,Sales
STK100037,PL03,MAT2007,241,1281,30,Production
STK100038,PL04,MAT2006,311,1090,29,Project
STK100039,PL03,MAT2004,339,1155,21,Maintenance
STK100040,PL04,MAT2008,233,494,15,Maintenance
STK100041,PL02,MAT2007,269,1249,16,Sales
STK100042,PL04,MAT2008,407,1244,28,Project
STK100043,PL03,MAT2008,232,552,30,Sales
STK100044,PL03,MAT2008,539,795,4,Maintenance
STK100045,PL04,MAT2003,145,586,25,Maintenance
STK100046,PL03,MAT2002,181,585,5,Project
STK100047,PL04,MAT2006,426,1298,15,Maintenance
STK100048,PL04,MAT2005,288,1585,23,Maintenance
STK100049,PL02,MAT2003,443,1142,21,Project
STK100050,PL03,MAT2003,5,662,24,Production
STK100051,PL03,MAT2004,200,1475,3,Maintenance
STK100052,PL01,MAT2010,327,1462,25,Sales
STK100053,PL01,MAT2006,197,588,7,Production
STK100054,PL01,MAT2002,270,354,1,Maintenance
STK100055,PL03,MAT2010,402,869,27,Project
STK100056,PL03,MAT2002,543,1447,3,Project
STK100057,PL04,MAT2006,319,1400,13,Production
STK100058,PL03,MAT2007,643,1326,19,Maintenance
STK100059,PL04,MAT2004,300,389,29,Project
STK100060,PL04,MAT2009,200,800,18,Maintenance
STK100061,PL01,MAT2003,306,720,21,Maintenance
STK100062,PL01,MAT2006,621,815,24,Project
STK100063,PL04,MAT2004,659,1116,16,Project
STK100064,PL02,MAT2002,147,321,22,Maintenance
STK100065,PL01,MAT2004,459,1191,29,Maintenance
STK100066,PL02,MAT2007,561,1170,11,Sales
STK100067,PL04,MAT2010,644,700,1,Production
STK100068,PL02,MAT2003,647,992,11,Sales
STK100069,PL01,MAT2010,617,969,2,Maintenance
STK100070,PL02,MAT2001,366,918,4,Sales
STK100071,PL03,MAT2005,432,1478,2,Sales
STK100072,PL03,MAT2010,642,666,14,Maintenance
STK100073,PL04,MAT2001,455,1528,15,Sales
STK100074,PL03,MAT2010,88,204,30,Project
STK100075,PL02,MAT2005,233,691,3,Project
STK100076,PL02,MAT2005,635,887,16,Sales
STK100077,PL03,MAT2009,41,780,21,Production
STK100078,PL04,MAT2001,553,1192,5,Sales
STK100079,PL01,MAT2005,65,187,26,Project
STK100080,PL03,MAT2005,698,1578,14,Project
STK100081,PL04,MAT2001,286,997,29,Maintenance
STK100082,PL04,MAT2004,131,374,7,Sales
STK100083,PL02,MAT2010,191,587,18,Project
STK100084,PL04,MAT2005,391,1460,27,Production
STK100085,PL04,MAT2010,446,916,11,Sales
STK100086,PL01,MAT2002,43,1593,14,Project
STK100087,PL04,MAT2004,51,556,6,Project
STK100088,PL03,MAT2004,315,1345,12,Project
STK100089,PL02,MAT2009,161,1274,27,Maintenance
STK100090,PL02,MAT2005,51,832,11,Sales
STK100091,PL01,MAT2007,464,1559,14,Maintenance
STK100092,PL02,MAT2005,343,799,30,Project
STK100093,PL04,MAT2001,156,493,10,Project
STK100094,PL02,MAT2006,369,1293,3,Maintenance
STK100095,PL02,MAT2001,267,1032,2,Project
STK100096,PL04,MAT2002,6,27,4,Sales
STK100097,PL02,MAT2010,359,1469,20,Production
STK100098,PL03,MAT2003,416,822,23,Production
STK100099,PL02,MAT2001,301,810,20,Production
STK100100,PL04,MAT2010,43,336,21,Project
STK100101,PL01,MAT2005,362,1590,16,Maintenance
STK100102,PL04,MAT2003,509,918,16,Production
STK100103,PL03,MAT2005,377,834,10,Sales
STK100104,PL03,MAT2010,462,587,24,Production
STK100105,PL03,MAT2004,662,1010,11,Maintenance
STK100106,PL01,MAT2009,471,1132,6,Sales
STK100107,PL04,MAT2003,159,1306,27,Project
STK100108,PL02,MAT2008,352,811,9,Sales
STK100109,PL01,MAT2005,564,569,5,Maintenance
STK100110,PL03,MAT2007,190,1236,9,Maintenance
STK100111,PL02,MAT2002,217,1205,25,Sales
STK100112,PL03,MAT2007,634,1441,30,Maintenance
STK100113,PL02,MAT2001,364,1049,12,Sales
STK100114,PL02,MAT2002,220,279,19,Project
STK100115,PL01,MAT2009,441,1295,7,Sales
STK100116,PL02,MAT2007,325,1014,30,Production
STK100117,PL04,MAT2007,159,306,12,Sales
STK100118,PL01,MAT2001,561,1266,4,Production
STK100119,PL04,MAT2004,234,1241,12,Production
STK100120,PL04,MAT2006,48,1318,18,Sales
STK100121,PL04,MAT2006,144,953,8,Maintenance
STK100122,PL04,MAT2003,391,1011,29,Maintenance
STK100123,PL04,MAT2007,133,271,1,Sales
STK100124,PL01,MAT2008,410,1103,3,Production
STK100125,PL03,MAT2008,453,1493,6,Maintenance
STK100126,PL01,MAT2003,592,907,15,Sales
STK100127,PL01,MAT2002,668,748,18,Production
STK100128,PL01,MAT2007,120,1206,25,Sales
STK100129,PL04,MAT2002,16,473,20,Production
STK100130,PL02,MAT2005,565,1249,7,Maintenance
STK100131,PL04,MAT2009,665,1289,12,Project
STK100132,PL04,MAT2001,610,1574,8,Production
STK100133,PL01,MAT2001,278,1105,9,Project
STK100134,PL04,MAT2007,140,1568,18,Production
STK100135,PL04,MAT2001,347,1275,17,Maintenance
STK100136,PL01,MAT2009,482,567,5,Production
STK100137,PL04,MAT2006,174,568,21,Sales
STK100138,PL04,MAT2006,386,1393,2,Sales
STK100139,PL01,MAT2010,474,1140,30,Maintenance
STK100140,PL02,MAT2004,151,1423,15,Maintenance
STK100141,PL02,MAT2002,18,1223,17,Sales
STK100142,PL04,MAT2010,117,647,7,Maintenance
STK100143,PL03,MAT2008,19,799,20,Project
STK100144,PL03,MAT2008,554,1318,24,Maintenance
STK100145,PL02,MAT2002,332,544,17,Production
STK100146,PL02,MAT2008,228,1389,4,Production
STK100147,PL03,MAT2010,96,1280,16,Project
STK100148,PL01,MAT2009,490,562,29,Production
STK100149,PL02,MAT2004,693,1330,14,Sales
STK100150,PL04,MAT2005,476,764,13,Maintenance
STK100151,PL04,MAT2005,135,1018,28,Sales
STK100152,PL03,MAT2005,514,1110,28,Project
STK100153,PL03,MAT2006,378,612,12,Sales
STK100154,PL04,MAT2001,400,1067,6,Production
STK100155,PL04,MAT2001,372,458,26,Production
STK100156,PL03,MAT2010,337,943,2,Sales
STK100157,PL02,MAT2007,503,792,15,Project
STK100158,PL02,MAT2003,474,491,19,Maintenance
STK100159,PL02,MAT2007,93,1195,13,Production
STK100160,PL04,MAT2010,130,614,25,Sales
STK100161,PL03,MAT2009,591,823,10,Project
STK100162,PL04,MAT2001,465,496,24,Project
STK100163,PL01,MAT2007,476,864,26,Production
STK100164,PL03,MAT2008,555,1250,27,Sales
STK100165,PL03,MAT2004,608,961,26,Sales
STK100166,PL01,MAT2008,600,816,22,Production
STK100167,PL02,MAT2004,57,997,12,Project
STK100168,PL04,MAT2008,572,1513,6,Maintenance
STK100169,PL01,MAT2010,269,1422,3,Maintenance
STK100170,PL04,MAT2006,648,683,26,Maintenance
STK100171,PL01,MAT2001,584,1066,25,Production
STK100172,PL02,MAT2003,421,1019,24,Sales
STK100173,PL04,MAT2007,37,565,6,Production
STK100174,PL03,MAT2004,172,918,6,Production
STK100175,PL04,MAT2006,173,853,13,Sales
STK100176,PL03,MAT2010,184,361,21,Production
STK100177,PL04,MAT2003,265,1408,25,Sales
STK100178,PL01,MAT2002,5,363,13,Sales
STK100179,PL01,MAT2003,418,936,6,Project
STK100180,PL02,MAT2008,68,1196,9,Project
STK100181,PL01,MAT2001,254,670,14,Project
STK100182,PL01,MAT2002,221,1068,24,Sales
STK100183,PL02,MAT2008,227,439,28,Maintenance
STK100184,PL03,MAT2010,282,1183,26,Sales
STK100185,PL01,MAT2009,162,832,29,Project
STK100186,PL03,MAT2006,592,998,21,Sales
STK100187,PL03,MAT2002,312,1564,17,Sales
STK100188,PL02,MAT2003,458,493,16,Maintenance
STK100189,PL01,MAT2006,13,1458,12,Project
STK100190,PL02,MAT2008,257,542,25,Project
