quality_lot_id,plant_id,material_id,quality_qty,quality_reason,status
QH40000,PL01,MAT2007,211,Inspection,BLOCKED
QH40001,PL02,MAT2007,41,Usage Decision Pending,IN_INSPECTION
QH40002,PL01,MAT2002,2,Quality Hold,IN_INSPECTION
QH40003,PL03,MAT2001,263,Inspection,OPEN
QH40004,PL04,MAT2001,220,Quality Hold,IN_INSPECTION
QH40005,PL03,MAT2009,57,Usage Decision Pending,OPEN
QH40006,PL03,MAT2007,64,Usage Decision Pending,BLOCKED
QH40007,PL03,MAT2007,153,Inspection,IN_INSPECTION
QH40008,PL01,MAT2005,229,Quality Hold,BLOCKED
QH40009,PL03,MAT2009,387,Quality Hold,BLOCKED
QH40010,PL03,MAT2002,37,Usage Decision Pending,BLOCKED
QH40011,PL03,MAT2010,3,Inspection,IN_INSPECTION
QH40012,PL01,MAT2002,290,Quality Hold,BLOCKED
QH40013,PL02,MAT2005,113,Usage Decision Pending,BLOCKED
QH40014,PL04,MAT2007,58,Inspection,OPEN
QH40015,PL01,MAT2001,295,Usage Decision Pending,BLOCKED
QH40016,PL04,MAT2001,123,Quality Hold,BLOCKED
QH40017,PL02,MAT2008,176,Quality Hold,BLOCKED
QH40018,PL02,MAT2010,172,Usage Decision Pending,BLOCKED
QH40019,PL03,MAT2009,366,Inspection,OPEN
QH40020,PL03,MAT2008,367,Inspection,BLOCKED
QH40021,PL01,MAT2005,148,Quality Hold,BLOCKED
QH40022,PL03,MAT2007,10,Usage Decision Pending,IN_INSPECTION
QH40023,PL04,MAT2002,131,Inspection,IN_INSPECTION
QH40024,PL02,MAT2004,175,Usage Decision Pending,BLOCKED
QH40025,PL03,MAT2003,183,Inspection,BLOCKED
QH40026,PL02,MAT2001,279,Inspection,IN_INSPECTION
QH40027,PL01,MAT2007,332,Usage Decision Pending,OPEN
QH40028,PL03,MAT2006,297,Usage Decision Pending,IN_INSPECTION
QH40029,PL03,MAT2006,298,Usage Decision Pending,OPEN
QH40030,PL01,MAT2001,185,Inspection,IN_INSPECTION
QH40031,PL01,MAT2002,326,Inspection,OPEN
QH40032,PL03,MAT2007,310,Usage Decision Pending,OPEN
QH40033,PL01,MAT2005,245,Inspection,BLOCKED
QH40034,PL02,MAT2003,156,Inspection,OPEN
QH40035,PL02,MAT2002,55,Inspection,BLOCKED
QH40036,PL04,MAT2009,26,Usage Decision Pending,IN_INSPECTION
QH40037,PL03,MAT2007,155,Inspection,IN_INSPECTION
QH40038,PL04,MAT2006,357,Quality Hold,IN_INSPECTION
QH40039,PL03,MAT2004,20,Inspection,OPEN
QH40040,PL04,MAT2008,46,Quality Hold,BLOCKED
QH40041,PL02,MAT2007,97,Usage Decision Pending,BLOCKED
QH40042,PL04,MAT2008,248,Inspection,BLOCKED
QH40043,PL03,MAT2008,302,Inspection,BLOCKED
QH40044,PL03,MAT2008,229,Quality Hold,BLOCKED
QH40045,PL04,MAT2003,10,Inspection,IN_INSPECTION
QH40046,PL03,MAT2002,69,Usage Decision Pending,BLOCKED
