movement_id,plant_id,material_id,from_storage_location,to_storage_location,quantity,movement_date
MOV50000,PL04,MAT2003,A01,B02,179,2026-06-18
MOV50001,PL02,MAT2004,EXT,B02,110,2026-08-10
MOV50002,PL03,MAT2009,C03,C03,250,2026-05-16
MOV50003,PL01,MAT2001,B02,EXT,172,2026-08-14
MOV50004,PL04,MAT2002,B02,BLK,61,2026-07-24
MOV50005,PL02,MAT2001,C03,C03,257,2026-05-29
MOV50006,PL04,MAT2005,QH1,BLK,170,2026-07-19
MOV50007,PL03,MAT2002,BLK,A01,2,2026-05-10
MOV50008,PL01,MAT2007,BLK,B02,239,2026-07-13
MOV50009,PL02,MAT2010,B02,C03,128,2026-07-26
MOV50010,PL03,MAT2006,BLK,QH1,24,2026-07-17
MOV50011,PL01,MAT2004,B02,BLK,246,2026-05-10
MOV50012,PL03,MAT2010,A01,EXT,286,2026-08-16
MOV50013,PL02,MAT2009,QH1,B02,57,2026-07-29
MOV50014,PL04,MAT2008,BLK,B02,42,2026-06-05
MOV50015,PL03,MAT2010,QH1,B02,96,2026-05-16
MOV50016,PL04,MAT2005,A01,QH1,116,2026-08-19
MOV50017,PL04,MAT2007,EXT,C03,245,2026-06-27
MOV50018,PL04,MAT2005,EXT,BLK,104,2026-06-17
MOV50019,PL04,MAT2007,B02,B02,208,2026-06-04
MOV50020,PL04,MAT2001,QH1,B02,183,2026-06-10
MOV50021,PL03,MAT2003,A01,QH1,252,2026-06-15
MOV50022,PL02,MAT2005,C03,EXT,297,2026-05-07
MOV50023,PL02,MAT2009,QH1,QH1,239,2026-07-20
MOV50024,PL04,MAT2005,BLK,BLK,258,2026-05-05
MOV50025,PL02,MAT2009,EXT,A01,283,2026-07-01
MOV50026,PL03,MAT2005,C03,QH1,172,2026-09-01
MOV50027,PL02,MAT2001,B02,C03,211,2026-08-26
MOV50028,PL04,MAT2006,B02,B02,135,2026-07-27
MOV50029,PL04,MAT2006,C03,QH1,142,2026-09-03
MOV50030,PL03,MAT2002,QH1,QH1,53,2026-06-04
MOV50031,PL04,MAT2005,B02,A01,285,2026-07-15
MOV50032,PL04,MAT2006,BLK,QH1,51,2026-05-15
MOV50033,PL03,MAT2002,QH1,EXT,253,2026-06-29
MOV50034,PL04,MAT2008,B02,A01,240,2026-07-12
MOV50035,PL03,MAT2010,C03,B02,18,2026-05-20
MOV50036,PL03,MAT2002,EXT,A01,180,2026-07-09
MOV50037,PL03,MAT2007,A01,A01,145,2026-07-06
MOV50038,PL01,MAT2001,A01,EXT,109,2026-05-29
MOV50039,PL02,MAT2004,A01,B02,113,2026-06-27
MOV50040,PL02,MAT2010,C03,BLK,246,2026-05-06
MOV50041,PL01,MAT2007,A01,QH1,132,2026-06-08
MOV50042,PL02,MAT2007,BLK,EXT,289,2026-08-02
MOV50043,PL01,MAT2003,BLK,C03,192,2026-06-10
MOV50044,PL02,MAT2008,QH1,EXT,274,2026-06-22
MOV50045,PL03,MAT2002,C03,A01,292,2026-08-15
MOV50046,PL04,MAT2002,BLK,BLK,245,2026-08-05
MOV50047,PL02,MAT2005,BLK,QH1,38,2026-07-18
MOV50048,PL01,MAT2008,B02,C03,9,2026-05-28
MOV50049,PL02,MAT2009,C03,QH1,207,2026-04-07
MOV50050,PL04,MAT2005,QH1,B02,154,2026-09-05
MOV50051,PL04,MAT2003,C03,C03,87,2026-08-07
MOV50052,PL04,MAT2001,C03,A01,210,2026-06-14
MOV50053,PL03,MAT2009,EXT,EXT,155,2026-08-10
MOV50054,PL01,MAT2002,A01,QH1,131,2026-06-05
MOV50055,PL04,MAT2010,A01,B02,288,2026-05-16
MOV50056,PL01,MAT2007,B02,QH1,99,2026-08-24
MOV50057,PL01,MAT2002,QH1,C03,185,2026-04-06
MOV50058,PL04,MAT2008,B02,B02,134,2026-09-08
MOV50059,PL01,MAT2008,EXT,B02,249,2026-05-04
MOV50060,PL01,MAT2001,B02,A01,166,2026-05-27
MOV50061,PL02,MAT2003,B02,BLK,238,2026-07-03
MOV50062,PL02,MAT2003,QH1,A01,296,2026-04-01
MOV50063,PL01,MAT2007,QH1,C03,192,2026-06-23
MOV50064,PL04,MAT2006,QH1,B02,108,2026-07-02
MOV50065,PL04,MAT2007,BLK,BLK,249,2026-06-14
MOV50066,PL01,MAT2002,C03,C03,225,2026-03-21
MOV50067,PL02,MAT2010,EXT,EXT,25,2026-08-25
MOV50068,PL04,MAT2006,C03,QH1,66,2026-06-14
MOV50069,PL03,MAT2006,B02,QH1,30,2026-07-08
MOV50070,PL04,MAT2002,B02,A01,266,2026-07-09
MOV50071,PL04,MAT2002,EXT,BLK,295,2026-03-31
MOV50072,PL02,MAT2006,EXT,QH1,279,2026-05-20
MOV50073,PL04,MAT2001,B02,C03,2,2026-05-17
MOV50074,PL01,MAT2004,B02,QH1,67,2026-06-06
MOV50075,PL04,MAT2006,QH1,QH1,252,2026-04-24
MOV50076,PL02,MAT2009,EXT,A01,238,2026-09-01
MOV50077,PL01,MAT2002,EXT,EXT,261,2026-08-22
MOV50078,PL04,MAT2004,QH1,B02,110,2026-08-27
MOV50079,PL01,MAT2007,EXT,BLK,11,2026-08-25
