po_number,item,change_date,change_type,reason_code,quantity,new_value
45001001,10,2026-02-01,CREATED,PO_CREATED,100,
45001001,10,2026-03-12,CONFIRMATION,DATE_CONFIRMED,100,2026-03-15
45001001,10,2026-05-10,RESCHEDULE,DATE_PUSHED,60,2026-06-15
45001001,10,2026-07-20,RESCHEDULE,DATE_PUSHED,60,2026-08-25
45001002,10,2026-03-10,CREATED,PO_CREATED,50,
45001002,10,2026-04-28,RESCHEDULE,DATE_PUSHED,50,2026-09-30
45001003,10,2026-04-20,CREATED,PO_CREATED,200,
45001003,10,2026-06-10,GOODS_RECEIPT,PARTIAL_GR,80,2026-06-10
45001003,10,2026-07-01,RESCHEDULE,DATE_PUSHED,80,2026-07-20
45001004,10,2026-05-05,CREATED,PO_CREATED,80,
45001004,10,2026-05-20,RELEASE,RELEASED,80,
45001005,10,2026-05-15,GOODS_RECEIPT,FULL_GR,500,2026-06-02
45001006,10,2026-01-15,CREATED,PO_CREATED,1000,
45001006,10,2026-02-18,CONFIRMATION,NO_CONFIRMATION,0,
45001007,10,2026-06-01,CREATED,PO_CREATED,60,
45001007,10,2026-06-19,RESCHEDULE,DATE_PUSHED,60,2026-07-10
45001007,10,2026-08-01,RESCHEDULE,DATE_PUSHED,60,2026-08-30
45001008,10,2026-07-01,CREATED,PO_CREATED,20,
45001008,10,2026-08-15,CONFIRMATION,DATE_CONFIRMED,20,2026-09-30
45001009,10,2026-02-15,CREATED,PO_CREATED,40,
45001009,10,2026-03-01,BLOCK,PO_BLOCKED,40,
45001010,10,2026-04-01,CREATED,PO_CREATED,150,
45001010,10,2026-04-15,CONFIRMATION,DATE_CONFIRMED,150,2026-05-01
45001011,10,2026-03-01,CREATED,PO_CREATED,30,
45001011,10,2026-03-15,CONFIRMATION,DATE_CONFIRMED,30,2026-03-20
45001012,10,2026-08-01,CREATED,PO_CREATED,300,
