stock_id,plant_id,material_id,on_hand_qty,safety_stock,surplus_qty,shortage_qty
ST30000PL01,PL01,MAT3001,975,163,861,0
ST30000PL02,PL02,MAT3001,55,155,0,504
ST30001PL02,PL02,MAT3002,823,77,565,0
ST30001PL03,PL03,MAT3002,90,112,0,758
ST30002PL03,PL03,MAT3003,471,64,234,0
ST30002PL04,PL04,MAT3003,47,110,0,796
ST30003PL04,PL04,MAT3004,1212,138,913,0
ST30003PL01,PL01,MAT3004,39,52,0,453
ST30004PL05,PL05,MAT3005,1394,152,1120,0
ST30004PL02,PL02,MAT3005,46,150,0,838
ST30005PL06,PL06,MAT3006,1015,92,924,0
ST30005PL03,PL03,MAT3006,107,68,0,283
ST30006PL01,PL01,MAT3007,689,122,355,0
ST30006PL05,PL05,MAT3007,102,109,0,267
ST30007PL02,PL02,MAT3008,732,108,574,0
ST30007PL06,PL06,MAT3008,74,70,0,239
ST30008PL03,PL03,MAT3009,881,157,616,0
ST30008PL01,PL01,MAT3009,78,155,0,677
ST30009PL04,PL04,MAT3010,1584,136,1462,0
ST30009PL02,PL02,MAT3010,118,128,0,366
STX80000,PL05,MAT3002,272,161,0,580
STX80001,PL05,MAT3010,794,112,90,0
STX80002,PL02,MAT3008,764,52,0,109
STX80003,PL02,MAT3006,494,105,0,351
STX80004,PL05,MAT3005,413,131,0,405
STX80005,PL04,MAT3004,213,173,0,144
STX80006,PL06,MAT3007,416,115,25,0
STX80007,PL04,MAT3008,603,62,408,0
STX80008,PL02,MAT3009,884,146,707,0
STX80009,PL04,MAT3009,504,58,309,0
STX80010,PL05,MAT3007,776,168,150,0
STX80011,PL03,MAT3010,334,38,149,0
STX80012,PL04,MAT3007,882,159,306,0
STX80013,PL02,MAT3006,361,93,166,0
STX80014,PL01,MAT3004,734,91,0,37
STX80015,PL01,MAT3007,217,121,0,231
STX80016,PL04,MAT3010,101,176,0,505
STX80017,PL01,MAT3001,449,63,0,226
STX80018,PL06,MAT3004,100,151,0,300
STX80019,PL01,MAT3003,197,108,61,0
STX80020,PL02,MAT3005,802,47,111,0
STX80021,PL03,MAT3005,253,138,0,90
STX80022,PL05,MAT3007,693,130,0,191
STX80023,PL05,MAT3006,776,176,330,0
STX80024,PL01,MAT3010,805,37,0,13
STX80025,PL06,MAT3001,711,66,519,0
STX80026,PL05,MAT3007,257,30,164,0
STX80027,PL06,MAT3010,577,107,17,0
STX80028,PL05,MAT3009,847,124,746,0
STX80029,PL05,MAT3007,660,142,0,146
STX80030,PL01,MAT3009,120,142,0,715
STX80031,PL02,MAT3004,158,43,0,340
STX80032,PL05,MAT3003,496,33,192,0
STX80033,PL03,MAT3004,535,106,214,0
STX80034,PL04,MAT3003,545,40,0,262
STX80035,PL06,MAT3009,379,147,101,0
STX80036,PL01,MAT3010,239,150,0,254
STX80037,PL06,MAT3007,285,112,50,0
STX80038,PL04,MAT3001,591,38,170,0
STX80039,PL02,MAT3005,525,56,66,0
STX80040,PL06,MAT3001,589,64,127,0
STX80041,PL05,MAT3001,630,168,322,0
STX80042,PL03,MAT3010,162,120,0,359
STX80043,PL04,MAT3008,119,103,0,349
STX80044,PL04,MAT3007,637,127,321,0
STX80045,PL05,MAT3002,523,157,0,229
STX80046,PL04,MAT3005,316,45,0,183
STX80047,PL05,MAT3003,337,108,0,227
STX80048,PL06,MAT3010,755,42,39,0
STX80049,PL06,MAT3005,325,66,0,42
STX80050,PL05,MAT3009,509,96,0,371
STX80051,PL05,MAT3002,863,157,420,0
STX80052,PL04,MAT3006,793,76,252,0
STX80053,PL03,MAT3001,417,48,0,51
STX80054,PL06,MAT3009,682,109,0,66
STX80055,PL04,MAT3007,747,105,394,0
STX80056,PL02,MAT3003,473,94,0,145
STX80057,PL03,MAT3010,555,144,360,0
STX80058,PL03,MAT3008,427,62,202,0
STX80059,PL04,MAT3009,153,40,0,683
STX80060,PL04,MAT3003,975,50,453,0
STX80061,PL04,MAT3005,531,150,201,0
STX80062,PL05,MAT3007,598,77,0,100
STX80063,PL02,MAT3009,978,60,738,0
STX80064,PL06,MAT3005,598,148,0,16
STX80065,PL03,MAT3001,147,126,0,620
STX80066,PL01,MAT3007,479,102,0,245
STX80067,PL06,MAT3009,725,35,0,98
STX80068,PL01,MAT3004,961,115,133,0
STX80069,PL01,MAT3002,243,179,0,53
STX80070,PL03,MAT3006,867,107,520,0
STX80071,PL06,MAT3006,486,130,0,238
STX80072,PL01,MAT3009,449,36,21,0
STX80073,PL06,MAT3007,209,139,6,0
STX80074,PL03,MAT3009,969,123,412,0
STX80075,PL05,MAT3002,134,49,0,606
STX80076,PL05,MAT3008,879,135,299,0
STX80077,PL02,MAT3009,117,155,0,656
STX80078,PL06,MAT3006,714,81,555,0
STX80079,PL03,MAT3007,526,87,0,35
STX80080,PL06,MAT3009,768,59,543,0
STX80081,PL06,MAT3007,472,61,0,281
STX80082,PL04,MAT3002,583,114,487,0
STX80083,PL03,MAT3010,927,87,349,0
STX80084,PL06,MAT3005,376,96,0,262
STX80085,PL01,MAT3007,520,142,0,145
STX80086,PL06,MAT3009,849,150,251,0
STX80087,PL03,MAT3010,953,154,305,0
STX80088,PL05,MAT3005,338,144,50,0
STX80089,PL01,MAT3006,449,88,226,0
