plant_id,line_id,fg_family,weekly_capacity_units,utilization_pct,changeover_hours,status
PL-01,PL-01-L1,Body-in-white,1891,89.7,4.7,running
PL-01,PL-01-L2,Interior module,1891,76.5,3.5,running
PL-01,PL-01-L3,Electrical & electronics,1891,73.4,4.7,running
PL-02,PL-02-L1,Thermal system,2316,63.4,0.9,running
PL-02,PL-02-L2,Service kit,2316,98,1.9,planned down
PL-02,PL-02-L3,E-drive,2316,60.4,0.6,running
PL-03,PL-03-L1,Interior module,906,63.1,2.5,running
PL-03,PL-03-L2,E-drive,906,76.5,5.2,running
PL-03,PL-03-L3,Thermal system,906,79.2,2.3,planned down
PL-03,PL-03-L4,Exterior module,906,65.5,2,running
PL-03,PL-03-L5,Service kit,906,59.6,4,running
PL-03,PL-03-L6,Chassis & suspension,906,94.7,4.3,planned down
PL-03,PL-03-L7,Interior module,906,84.2,3.1,running
PL-03,PL-03-L8,Service kit,906,84.6,5.3,planned down
PL-04,PL-04-L1,Powertrain,2537,96.3,1.2,running
PL-04,PL-04-L2,E-drive,2537,82.4,4.1,running
PL-04,PL-04-L3,Thermal system,2537,91.9,2.6,running
PL-04,PL-04-L4,Interior module,2537,67,4.3,running
PL-05,PL-05-L1,Body-in-white,2242,81,1.2,planned down
PL-05,PL-05-L2,Powertrain,2242,86.9,1.8,planned down
PL-05,PL-05-L3,Interior module,2242,62.2,5.8,running
PL-05,PL-05-L4,Interior module,2242,90.9,0.7,running
PL-05,PL-05-L5,Interior module,2242,88.7,4.7,running
PL-06,PL-06-L1,Thermal system,1856,90.6,2.2,running
PL-06,PL-06-L2,Service kit,1856,68.2,3.3,running
PL-06,PL-06-L3,E-drive,1856,96,4.2,running
PL-06,PL-06-L4,Exterior module,1856,93.9,5.9,planned down
PL-06,PL-06-L5,Interior module,1856,63.6,2.1,running
PL-06,PL-06-L6,E-drive,1856,68.9,4.3,running
PL-07,PL-07-L1,E-drive,1925,96.1,5.5,running
PL-07,PL-07-L2,Interior module,1925,63.1,4.2,running
PL-07,PL-07-L3,Chassis & suspension,1925,96.1,1.3,running
PL-07,PL-07-L4,E-drive,1925,81.7,3.8,planned down
PL-07,PL-07-L5,Chassis & suspension,1925,71.1,4.1,running
PL-07,PL-07-L6,Thermal system,1925,87.5,4.3,running
PL-08,PL-08-L1,Body-in-white,1714,91.3,3.1,running
PL-08,PL-08-L2,Thermal system,1714,74.6,5.4,running
PL-08,PL-08-L3,Service kit,1714,60.2,2.9,running
PL-08,PL-08-L4,Exterior module,1714,75.3,5.7,running
PL-09,PL-09-L1,Interior module,1279,97.3,3.5,running
PL-09,PL-09-L2,Service kit,1279,59.1,4.7,planned down
