customer_id,customer_name,customer_type,region,country,tier_rank,otif_target_pct,penalty_usd_per_day,annual_revenue_usd,contract_type
C-00001,Bluepeak Distribution 00001,Distributor,EMEA-W,Italy,1,95,2534,6000000,consignment
C-00002,Orion Distribution 00002,Aftermarket,APAC-IN,India,2,95,1316,3800000,LTA
C-00003,Norvia Systems 00003,Tier-1,EMEA-E,Romania,3,95,3402,4300000,LTA
C-00004,Orion Distribution 00004,Aftermarket,NA-MX,Mexico,4,95,2686,4200000,consignment
C-00005,Kestrel Motors 00005,OEM,EMEA-E,Romania,5,98,57091,34500000,consignment
C-00006,Sumida Distribution 00006,Aftermarket,SA,Argentina,6,95,3466,2800000,LTA
C-00007,Norvia Distribution 00007,Aftermarket,NA-MX,Mexico,7,95,1645,1100000,consignment
C-00008,Vantage Motors 00008,OEM,SA,Brazil,8,98,22495,45300000,consignment
C-00009,Vantage Distribution 00009,Distributor,APAC-SE,Malaysia,9,95,2450,2100000,consignment
C-00010,Atlas Distribution 00010,Distributor,EMEA-E,Turkey,10,95,2371,5700000,LTA
C-00011,Atlas Systems 00011,Tier-1,NA-US,United States,483,95,60,6000000,spot
C-00012,Orion Distribution 00012,Aftermarket,NA-US,United States,110,95,312,6000000,consignment
C-00013,Cordis Motors 00013,OEM,APAC-SE,Vietnam,357,98,55194,40800000,consignment
C-00014,Norvia Systems 00014,Tier-1,APAC-IN,India,419,95,674,2700000,consignment
C-00015,Atlas Distribution 00015,Distributor,APAC-NE,Taiwan,50,95,3373,2600000,spot
C-00016,Cordis Motors 00016,OEM,SA,Brazil,459,98,39756,84300000,spot
C-00017,Bluepeak Motors 00017,OEM,APAC-IN,India,225,98,47212,50200000,consignment
C-00018,Kestrel Systems 00018,Tier-1,APAC-NE,China,68,95,1539,4100000,spot
C-00019,Orion Motors 00019,OEM,APAC-SE,Vietnam,144,98,38523,46300000,LTA
C-00020,Baltia Distribution 00020,Distributor,APAC-NE,China,287,95,3371,1700000,LTA
C-00021,Orion Distribution 00021,Aftermarket,NA-MX,Mexico,183,95,2772,4500000,spot
C-00022,Cordis Motors 00022,OEM,APAC-NE,China,319,98,46070,13500000,LTA
C-00023,Atlas Motors 00023,OEM,NA-US,United States,109,98,27851,62400000,LTA
C-00024,Vantage Distribution 00024,Distributor,EMEA-E,Turkey,100,95,2186,4200000,LTA
C-00025,Kestrel Distribution 00025,Distributor,APAC-SE,Thailand,238,95,3438,4000000,spot
C-00026,Atlas Distribution 00026,Distributor,APAC-IN,India,479,95,2666,3900000,LTA
C-00027,Orion Systems 00027,Tier-1,NA-MX,Mexico,464,95,1184,5500000,consignment
C-00028,Vantage Distribution 00028,Aftermarket,NA-US,United States,449,95,934,3000000,spot
C-00029,Orion Distribution 00029,Aftermarket,NA-MX,Mexico,99,95,3130,1900000,LTA
C-00030,Delantra Motors 00030,OEM,NA-MX,Mexico,330,98,10330,60700000,LTA
C-00031,Vantage Motors 00031,OEM,EMEA-E,Czechia,122,98,21954,68200000,consignment
C-00032,Bluepeak Systems 00032,Tier-1,SA,Brazil,314,95,852,4100000,spot
C-00033,Cordis Distribution 00033,Aftermarket,EMEA-W,Spain,267,95,767,1700000,spot
C-00034,Atlas Distribution 00034,Aftermarket,SA,Argentina,61,95,2918,5400000,LTA
C-00035,Orion Systems 00035,Tier-1,NA-MX,Mexico,120,95,2727,2200000,LTA
C-00036,Vantage Motors 00036,OEM,NA-MX,Mexico,300,98,23811,45000000,LTA
C-00037,Baltia Distribution 00037,Distributor,NA-MX,Mexico,336,95,3856,5700000,LTA
C-00038,Atlas Motors 00038,OEM,EMEA-E,Romania,105,98,46461,6700000,LTA
C-00039,Delantra Motors 00039,OEM,APAC-NE,China,167,98,6719,23500000,LTA
C-00040,Delantra Motors 00040,OEM,APAC-IN,India,348,98,22415,18400000,LTA
C-00041,Norvia Motors 00041,OEM,APAC-SE,Indonesia,388,98,11311,29700000,LTA
C-00042,Orion Distribution 00042,Aftermarket,APAC-NE,South Korea,402,95,718,900000,consignment
C-00043,Baltia Distribution 00043,Distributor,APAC-SE,Vietnam,230,95,2530,5100000,LTA
C-00044,Sumida Motors 00044,OEM,NA-MX,Mexico,293,98,33899,11100000,spot
C-00045,Norvia Systems 00045,Tier-1,EMEA-W,Germany,87,95,3430,5000000,LTA
C-00046,Delantra Distribution 00046,Distributor,NA-MX,Mexico,49,95,2887,5500000,LTA
C-00047,Baltia Motors 00047,OEM,APAC-NE,China,327,98,46765,83800000,consignment
C-00048,Cordis Distribution 00048,Distributor,EMEA-W,France,334,95,1862,500000,LTA
C-00049,Orion Motors 00049,OEM,APAC-SE,Thailand,384,98,44660,76000000,LTA
C-00050,Norvia Motors 00050,OEM,APAC-SE,Indonesia,301,98,18634,61800000,consignment
C-00051,Delantra Distribution 00051,Distributor,NA-US,United States,463,95,340,4800000,LTA
C-00052,Sumida Motors 00052,OEM,APAC-IN,India,428,98,44633,18800000,LTA
C-00053,Norvia Distribution 00053,Distributor,EMEA-E,Turkey,470,95,2930,400000,spot
C-00054,Kestrel Distribution 00054,Distributor,APAC-NE,Japan,122,95,3150,3000000,consignment
C-00055,Norvia Motors 00055,OEM,EMEA-W,France,233,98,12973,26500000,consignment
C-00056,Baltia Systems 00056,Tier-1,EMEA-E,Czechia,89,95,2012,4600000,consignment
C-00057,Orion Distribution 00057,Aftermarket,EMEA-E,Poland,268,95,2639,4000000,consignment
C-00058,Vantage Distribution 00058,Aftermarket,APAC-NE,South Korea,464,95,417,3200000,spot
C-00059,Orion Distribution 00059,Distributor,NA-US,United States,50,95,3444,3700000,LTA
C-00060,Delantra Distribution 00060,Distributor,APAC-SE,Vietnam,44,95,3024,4200000,spot
C-00061,Bluepeak Motors 00061,OEM,NA-MX,Mexico,152,98,22593,27300000,spot
C-00062,Norvia Distribution 00062,Aftermarket,NA-MX,Mexico,124,95,3328,5100000,consignment
C-00063,Kestrel Distribution 00063,Distributor,APAC-IN,India,72,95,522,300000,consignment
C-00064,Bluepeak Systems 00064,Tier-1,SA,Argentina,377,95,3282,1400000,LTA
C-00065,Cordis Systems 00065,Tier-1,EMEA-E,Czechia,310,95,3790,5200000,spot
C-00066,Vantage Distribution 00066,Distributor,EMEA-W,Germany,338,95,679,2900000,LTA
