fg_id,description,program,fg_family,plant_id,price_usd,std_cost_usd,margin_pct,weekly_volume,lifecycle
FG-00001,Chassis & suspension assembly 00001,Hybrid D-Sedan,Exterior module,PL-20,2914.06,2479.87,14.9,1146,ramp-up
FG-00002,Exterior module assembly 00002,C-SUV Gen4,Interior module,PL-06,2763.37,2235.57,19.1,796,run-out
FG-00003,Powertrain assembly 00003,C-SUV Gen4,Chassis & suspension,PL-08,2075.85,1727.11,16.8,1202,run-out
FG-00004,Electrical & electronics assembly 00004,D-Sedan,Chassis & suspension,PL-11,309.25,240.6,22.2,1508,mature
FG-00005,Thermal system assembly 00005,Pickup Midsize,Exterior module,PL-05,863.53,783.22,9.3,2227,run-out
FG-00006,E-drive assembly 00006,BEV Compact,Powertrain,PL-10,117.24,99.19,15.4,3742,mature
FG-00007,Exterior module assembly 00007,C-SUV Gen5,Interior module,PL-16,3730.93,3383.95,9.3,2212,mature
FG-00008,Exterior module assembly 00008,BEV Compact,Chassis & suspension,PL-16,3737.92,3427.67,8.3,1777,mature
FG-00009,Powertrain assembly 00009,D-Sedan,Exterior module,PL-04,3677.17,3515.37,4.4,1476,mature
FG-00010,Thermal system assembly 00010,BEV Compact,Powertrain,PL-17,358.32,334.67,6.6,2260,mature
FG-00011,Body-in-white assembly 00011,BEV Crossover,Chassis & suspension,PL-06,1203.97,898.16,25.4,55,run-out
FG-00012,Electrical & electronics assembly 00012,BEV Compact,Exterior module,PL-13,2379.09,1936.58,18.6,2698,run-out
FG-00013,Interior module assembly 00013,BEV Compact,Exterior module,PL-11,2497.71,1960.7,21.5,2676,mature
FG-00014,E-drive assembly 00014,B-Hatch Facelift,Service kit,PL-15,2046.69,1666.01,18.6,206,mature
FG-00015,Thermal system assembly 00015,E-Van Commercial,Thermal system,PL-14,991.72,781.48,21.2,1026,run-out
FG-00016,Chassis & suspension assembly 00016,C-SUV Gen5,Service kit,PL-17,2875.58,2317.72,19.4,244,mature
FG-00017,Interior module assembly 00017,C-SUV Gen5,Interior module,PL-13,478.42,445.41,6.9,1401,ramp-up
FG-00018,Powertrain assembly 00018,Aftermarket Service,Body-in-white,PL-14,1210.42,1050.64,13.2,2679,mature
FG-00019,Exterior module assembly 00019,Aftermarket Service,Thermal system,PL-05,826.5,743.85,10,3206,mature
FG-00020,Body-in-white assembly 00020,BEV Crossover,Interior module,PL-20,1028.25,793.81,22.8,2967,mature
FG-00021,Body-in-white assembly 00021,Pickup Midsize,E-drive,PL-03,318.12,294.26,7.5,132,mature
FG-00022,Electrical & electronics assembly 00022,B-Hatch Facelift,Interior module,PL-01,3810.68,3052.35,19.9,894,mature
FG-00023,E-drive assembly 00023,D-Sedan,Electrical & electronics,PL-13,2141.13,1768.57,17.4,247,mature
FG-00024,E-drive assembly 00024,BEV Compact,Service kit,PL-14,2571.04,2043.98,20.5,1758,mature
FG-00025,Interior module assembly 00025,Aftermarket Service,Chassis & suspension,PL-06,106.19,88.24,16.9,704,run-out
FG-00026,E-drive assembly 00026,C-SUV Gen4,Chassis & suspension,PL-03,811.64,603.05,25.7,2428,mature
FG-00027,Thermal system assembly 00027,BEV Compact,Exterior module,PL-20,1759.02,1481.09,15.8,274,mature
FG-00028,E-drive assembly 00028,BEV Compact,E-drive,PL-12,2395.91,2247.36,6.2,88,mature
FG-00029,Body-in-white assembly 00029,BEV Compact,Electrical & electronics,PL-12,1632.54,1317.46,19.3,520,mature
FG-00030,E-drive assembly 00030,C-SUV Gen5,Service kit,PL-05,1420.57,1142.14,19.6,978,mature
FG-00031,E-drive assembly 00031,C-SUV Gen5,Exterior module,PL-18,204.1,178.38,12.6,3202,run-out
FG-00032,E-drive assembly 00032,B-Hatch Facelift,Thermal system,PL-02,1172.87,950.02,19,2673,mature
FG-00033,Interior module assembly 00033,C-SUV Gen5,Powertrain,PL-04,2077.63,1830.39,11.9,113,ramp-up
FG-00034,Body-in-white assembly 00034,Aftermarket Service,Interior module,PL-14,4002.74,3438.35,14.1,2824,mature
FG-00035,E-drive assembly 00035,E-Van Commercial,Body-in-white,PL-08,1700.86,1607.31,5.5,732,mature
FG-00036,Interior module assembly 00036,Aftermarket Service,Exterior module,PL-16,1194.98,1051.58,12,342,mature
FG-00037,Service kit assembly 00037,B-Hatch Facelift,Electrical & electronics,PL-11,2322.48,2220.29,4.4,3149,mature
FG-00038,Body-in-white assembly 00038,BEV Crossover,Exterior module,PL-11,236.48,180.43,23.7,360,mature
FG-00039,Powertrain assembly 00039,BEV Compact,Thermal system,PL-19,1709.34,1620.45,5.2,2820,mature
FG-00040,Electrical & electronics assembly 00040,BEV Crossover,Body-in-white,PL-01,2223.36,2096.63,5.7,290,run-out
FG-00041,Body-in-white assembly 00041,C-SUV Gen4,Powertrain,PL-14,2793.64,2254.47,19.3,1301,run-out
FG-00042,Chassis & suspension assembly 00042,Aftermarket Service,Interior module,PL-02,4198.18,3345.95,20.3,2348,mature
FG-00043,Chassis & suspension assembly 00043,C-SUV Gen4,E-drive,PL-12,3545.11,3077.16,13.2,3651,ramp-up
FG-00044,Chassis & suspension assembly 00044,C-SUV Gen4,Exterior module,PL-04,1487.15,1149.57,22.7,3392,mature
FG-00045,Interior module assembly 00045,C-SUV Gen5,Chassis & suspension,PL-01,3463.21,2569.7,25.8,713,mature
FG-00046,Powertrain assembly 00046,BEV Compact,Service kit,PL-07,2502.27,1959.28,21.7,3666,run-out
FG-00047,Service kit assembly 00047,D-Sedan,E-drive,PL-14,1759.3,1384.57,21.3,538,run-out
FG-00048,Body-in-white assembly 00048,BEV Crossover,Body-in-white,PL-13,1993.55,1574.9,21,419,run-out
FG-00049,E-drive assembly 00049,B-Hatch Facelift,Body-in-white,PL-09,3848.85,3625.62,5.8,3103,ramp-up
FG-00050,E-drive assembly 00050,BEV Crossover,Electrical & electronics,PL-08,4161.21,3104.26,25.4,430,mature
FG-00051,Thermal system assembly 00051,BEV Crossover,Service kit,PL-03,2913.59,2552.3,12.4,1489,mature
FG-00052,Interior module assembly 00052,B-Hatch Facelift,Body-in-white,PL-13,62.83,60.07,4.4,2287,mature
FG-00053,Interior module assembly 00053,BEV Compact,Thermal system,PL-06,3013.75,2411,20,1973,mature
FG-00054,E-drive assembly 00054,B-Hatch Facelift,Electrical & electronics,PL-04,3190.54,2916.15,8.6,1343,mature
FG-00055,Exterior module assembly 00055,Hybrid D-Sedan,E-drive,PL-03,650.2,623.54,4.1,2519,mature
FG-00056,Electrical & electronics assembly 00056,C-SUV Gen5,Electrical & electronics,PL-08,1948.26,1507.95,22.6,2249,mature
FG-00057,Powertrain assembly 00057,Aftermarket Service,Interior module,PL-06,3721.66,3360.66,9.7,1521,mature
FG-00058,Thermal system assembly 00058,Aftermarket Service,Thermal system,PL-16,3538.83,2969.08,16.1,1223,mature
FG-00059,Service kit assembly 00059,C-SUV Gen4,Interior module,PL-12,621.9,593.91,4.5,2772,run-out
FG-00060,Interior module assembly 00060,D-Sedan,Body-in-white,PL-03,3061.2,2549.98,16.7,2361,mature
FG-00061,E-drive assembly 00061,Aftermarket Service,E-drive,PL-16,4126.87,3421.18,17.1,1513,mature
FG-00062,Powertrain assembly 00062,C-SUV Gen5,Interior module,PL-02,2467.67,2302.34,6.7,3691,mature
FG-00063,E-drive assembly 00063,C-SUV Gen4,Thermal system,PL-12,3871.99,3387.99,12.5,745,mature
FG-00064,Chassis & suspension assembly 00064,E-Van Commercial,Interior module,PL-20,436.03,357.98,17.9,2137,mature
FG-00065,Body-in-white assembly 00065,C-SUV Gen4,Powertrain,PL-07,1929.22,1759.45,8.8,1064,mature
FG-00066,Body-in-white assembly 00066,Pickup Midsize,Exterior module,PL-18,3016.75,2817.64,6.6,2264,ramp-up
FG-00067,Interior module assembly 00067,D-Sedan,Powertrain,PL-18,2679.34,2199.74,17.9,1846,mature
FG-00068,Chassis & suspension assembly 00068,C-SUV Gen4,Thermal system,PL-02,1040.19,887.28,14.7,2333,mature
FG-00069,Interior module assembly 00069,B-Hatch Facelift,Thermal system,PL-04,2684.09,2455.94,8.5,2423,run-out
FG-00070,Thermal system assembly 00070,C-SUV Gen4,Electrical & electronics,PL-02,1538.77,1200.24,22,3046,mature
FG-00071,Electrical & electronics assembly 00071,Pickup Midsize,Thermal system,PL-11,1333.37,1026.69,23,3271,mature
FG-00072,Thermal system assembly 00072,C-SUV Gen4,Powertrain,PL-08,999.16,802.33,19.7,1165,mature
FG-00073,Chassis & suspension assembly 00073,C-SUV Gen5,Interior module,PL-19,3182.42,2915.1,8.4,3405,mature
FG-00074,Body-in-white assembly 00074,Pickup Midsize,Exterior module,PL-08,164.48,137.18,16.6,2036,ramp-up
FG-00075,Body-in-white assembly 00075,Hybrid D-Sedan,Electrical & electronics,PL-04,3669.02,2902.19,20.9,1565,mature
FG-00076,E-drive assembly 00076,BEV Crossover,Thermal system,PL-20,2216.47,1664.57,24.9,1868,mature
FG-00077,Exterior module assembly 00077,D-Sedan,Service kit,PL-12,3915.68,3394.89,13.3,1177,mature
FG-00078,Interior module assembly 00078,Hybrid D-Sedan,Thermal system,PL-12,2647.69,2065.2,22,255,run-out
FG-00079,Electrical & electronics assembly 00079,C-SUV Gen5,Service kit,PL-17,601.8,497.09,17.4,189,mature
FG-00080,Chassis & suspension assembly 00080,Pickup Midsize,Thermal system,PL-16,4063.7,3076.22,24.3,1359,mature
FG-00081,Chassis & suspension assembly 00081,Aftermarket Service,Electrical & electronics,PL-14,765.9,619.61,19.1,3599,mature
FG-00082,Interior module assembly 00082,D-Sedan,Powertrain,PL-07,1900.25,1797.64,5.4,3747,mature
FG-00083,Chassis & suspension assembly 00083,BEV Crossover,E-drive,PL-19,3367.76,3061.29,9.1,1949,ramp-up
FG-00084,Thermal system assembly 00084,E-Van Commercial,Service kit,PL-15,3380.47,2927.49,13.4,1574,mature
FG-00085,Chassis & suspension assembly 00085,Hybrid D-Sedan,Body-in-white,PL-04,1625.65,1430.57,12,2756,mature
FG-00086,Exterior module assembly 00086,BEV Compact,Service kit,PL-05,767.05,585.26,23.7,890,mature
FG-00087,Powertrain assembly 00087,Aftermarket Service,Powertrain,PL-10,1973.49,1872.84,5.1,1443,run-out
FG-00088,Exterior module assembly 00088,Pickup Midsize,E-drive,PL-13,2784.45,2461.45,11.6,1911,mature
FG-00089,Powertrain assembly 00089,B-Hatch Facelift,Exterior module,PL-09,1468.05,1274.27,13.2,1427,run-out
FG-00090,Exterior module assembly 00090,B-Hatch Facelift,Thermal system,PL-19,3716.05,2764.74,25.6,208,run-out
FG-00091,E-drive assembly 00091,Aftermarket Service,Service kit,PL-17,2591.13,2448.62,5.5,179,ramp-up
FG-00092,Service kit assembly 00092,C-SUV Gen5,Service kit,PL-07,2361.36,1941.04,17.8,3007,run-out
FG-00093,Body-in-white assembly 00093,Pickup Midsize,Service kit,PL-08,3121.77,2728.43,12.6,1743,ramp-up
FG-00094,Service kit assembly 00094,Pickup Midsize,Chassis & suspension,PL-20,218.22,206.44,5.4,124,run-out
FG-00095,Exterior module assembly 00095,BEV Crossover,Body-in-white,PL-16,2628.39,2023.86,23,2798,mature
FG-00096,Exterior module assembly 00096,B-Hatch Facelift,Exterior module,PL-13,3819.96,3403.58,10.9,2958,mature
FG-00097,Electrical & electronics assembly 00097,D-Sedan,Service kit,PL-07,651.02,568.99,12.6,1400,run-out
FG-00098,Exterior module assembly 00098,Hybrid D-Sedan,E-drive,PL-16,2142.61,1600.53,25.3,299,mature
FG-00099,Chassis & suspension assembly 00099,BEV Compact,Powertrain,PL-15,3193.48,2653.78,16.9,1946,ramp-up
FG-00100,Chassis & suspension assembly 00100,BEV Crossover,Powertrain,PL-04,2182.06,1850.39,15.2,1103,run-out
FG-00101,Powertrain assembly 00101,BEV Compact,Exterior module,PL-01,130.56,122.07,6.5,1229,ramp-up
FG-00102,Electrical & electronics assembly 00102,BEV Compact,Chassis & suspension,PL-18,2206.3,1826.82,17.2,1638,mature
FG-00103,Powertrain assembly 00103,Pickup Midsize,Body-in-white,PL-07,785.2,584.97,25.5,964,run-out
FG-00104,Chassis & suspension assembly 00104,BEV Crossover,Thermal system,PL-15,2402.53,2090.2,13,1800,ramp-up
FG-00105,Thermal system assembly 00105,Hybrid D-Sedan,Service kit,PL-14,3025.7,2347.94,22.4,1408,mature
FG-00106,E-drive assembly 00106,C-SUV Gen4,E-drive,PL-12,3059.42,2309.86,24.5,2504,run-out
FG-00107,Powertrain assembly 00107,BEV Crossover,Electrical & electronics,PL-17,3912.88,3462.9,11.5,2542,mature
FG-00108,Service kit assembly 00108,C-SUV Gen4,Body-in-white,PL-17,2749.26,2471.58,10.1,3088,mature
FG-00109,Electrical & electronics assembly 00109,Pickup Midsize,E-drive,PL-01,2037.3,1774.49,12.9,1468,ramp-up
FG-00110,Body-in-white assembly 00110,E-Van Commercial,Powertrain,PL-07,665.15,635.88,4.4,2499,mature
FG-00111,Powertrain assembly 00111,BEV Compact,Body-in-white,PL-18,4011.4,3353.53,16.4,1158,mature
FG-00112,Powertrain assembly 00112,Hybrid D-Sedan,Body-in-white,PL-03,3113.21,2668.02,14.3,465,mature
FG-00113,Interior module assembly 00113,Pickup Midsize,Service kit,PL-03,1876.74,1698.45,9.5,289,mature
FG-00114,Exterior module assembly 00114,Pickup Midsize,Body-in-white,PL-08,919.72,882.01,4.1,2467,mature
FG-00115,Service kit assembly 00115,Pickup Midsize,Exterior module,PL-11,371.17,346.3,6.7,1985,run-out
FG-00116,Exterior module assembly 00116,Pickup Midsize,Exterior module,PL-02,853.37,744.99,12.7,2011,run-out
FG-00117,Thermal system assembly 00117,C-SUV Gen5,Exterior module,PL-13,2645.99,2320.53,12.3,3661,mature
FG-00118,Interior module assembly 00118,Pickup Midsize,Interior module,PL-20,3032.4,2847.42,6.1,714,mature
FG-00119,E-drive assembly 00119,Hybrid D-Sedan,Powertrain,PL-09,138.17,130.85,5.3,1982,ramp-up
FG-00120,Chassis & suspension assembly 00120,BEV Crossover,Service kit,PL-05,3261.79,2723.59,16.5,1925,ramp-up
