plant_id,part_id,on_hand_qty,days_cover,in_transit_qty,safety_stock_qty,as_of_date
PL-05,P-009237,31355,25,17611,377,2026-09-15
PL-14,P-001784,26045,10,6769,1434,2026-09-15
PL-06,P-007152,15865,16,1538,2155,2026-09-15
PL-10,P-006175,18092,6,7525,979,2026-09-15
PL-05,P-000460,15469,30,1245,491,2026-09-15
PL-11,P-003972,2099,30,5095,98,2026-09-15
PL-03,P-008951,18365,36,2377,340,2026-09-15
PL-01,P-001620,4459,5,10601,548,2026-09-15
PL-04,P-011386,23262,39,16870,838,2026-09-15
PL-04,P-005877,32828,3,3159,304,2026-09-15
PL-10,P-003923,39298,8,17791,453,2026-09-15
PL-16,P-006335,24972,11,11432,367,2026-09-15
PL-17,P-006628,36156,42,5824,475,2026-09-15
PL-04,P-005676,3748,17,6069,603,2026-09-15
PL-13,P-002114,8747,36,16992,347,2026-09-15
PL-17,P-005218,7588,22,17856,693,2026-09-15
PL-07,P-009387,10842,34,11699,538,2026-09-15
PL-15,P-000318,15866,38,935,276,2026-09-15
PL-20,P-006944,22023,31,3711,709,2026-09-15
PL-16,P-007192,18524,29,8937,472,2026-09-15
PL-04,P-010209,2325,9,147,590,2026-09-15
PL-10,P-001717,29336,38,14351,84,2026-09-15
PL-19,P-011339,18959,1,12080,295,2026-09-15
PL-17,P-001775,12169,30,2008,416,2026-09-15
PL-08,P-008495,19467,35,3844,119,2026-09-15
PL-02,P-011699,19638,6,17993,1438,2026-09-15
PL-12,P-006614,35710,5,13645,277,2026-09-15
PL-02,P-006398,13510,2,3839,1265,2026-09-15
PL-03,P-006760,13039,38,16555,179,2026-09-15
PL-13,P-003695,6249,40,6358,452,2026-09-15
PL-19,P-004109,29049,13,5502,227,2026-09-15
PL-20,P-000477,13057,12,7929,181,2026-09-15
PL-09,P-005636,36265,10,14336,1373,2026-09-15
PL-20,P-007187,33815,16,12615,414,2026-09-15
PL-07,P-009565,33162,3,9562,848,2026-09-15
PL-06,P-010237,14260,25,1925,1426,2026-09-15
PL-11,P-011635,17868,15,13858,1403,2026-09-15
PL-14,P-006905,25821,32,8588,421,2026-09-15
PL-10,P-010263,8947,32,933,1224,2026-09-15
PL-05,P-008274,33434,13,3164,483,2026-09-15
PL-01,P-009652,27620,9,5858,157,2026-09-15
PL-18,P-004771,30765,38,12857,1088,2026-09-15
PL-06,P-010906,25812,2,17436,260,2026-09-15
PL-05,P-011883,12175,35,14343,2070,2026-09-15
PL-02,P-008227,34389,33,15713,1412,2026-09-15
PL-19,P-004595,20828,29,10994,478,2026-09-15
PL-11,P-010247,15968,33,236,1020,2026-09-15
PL-06,P-008125,2294,1,7308,204,2026-09-15
PL-01,P-001552,36679,36,3133,1350,2026-09-15
PL-01,P-003517,3049,21,11914,146,2026-09-15
PL-09,P-002479,21229,20,13614,326,2026-09-15
PL-11,P-005646,23226,14,6976,150,2026-09-15
PL-06,P-004227,5686,23,14997,1061,2026-09-15
PL-08,P-002208,2995,37,6358,1978,2026-09-15
PL-18,P-003361,12308,15,15841,300,2026-09-15
PL-11,P-009251,31960,20,5376,710,2026-09-15
PL-12,P-002767,840,21,15289,756,2026-09-15
PL-08,P-009812,929,4,7499,289,2026-09-15
PL-12,P-005106,614,40,9199,1834,2026-09-15
PL-19,P-001222,5454,17,11820,186,2026-09-15
PL-09,P-003863,17854,13,4182,1140,2026-09-15
PL-06,P-007641,20489,41,11669,406,2026-09-15
PL-03,P-004011,2547,9,11115,980,2026-09-15
PL-17,P-001387,15567,12,5187,585,2026-09-15
PL-02,P-011390,9266,40,12236,888,2026-09-15
