stock_id,plant_id,material_id,physical_qty,blocked_qty,quality_hold_qty,reserved_qty,wrong_location_qty,expired_qty,calculated_usable_qty,storage_location,demo_scenario
STK100000,PL01,MAT2007,1090,655,0,0,0,0,435,B02,BLOCKED
STK100001,PL02,MAT2007,567,0,368,0,0,0,199,B02,QUALITY_HOLD
STK100002,PL01,MAT2002,1092,0,0,637,0,0,455,C03,RESERVED
STK100003,PL03,MAT2001,1295,0,0,0,694,0,601,B02,WRONG_LOCATION
STK100004,PL04,MAT2001,328,0,0,0,0,167,161,QH1,EXPIRED
STK100005,PL03,MAT2009,1236,0,0,0,0,286,950,B02,SHELF_LIFE_RISK
STK100008,PL01,MAT2005,1222,0,0,1405,0,0,0,A01,NEGATIVE_AVAILABLE
STK100009,PL03,MAT2009,1106,221,165,276,110,0,334,A01,MIXED
STK100010,PL03,MAT2002,967,498,0,0,0,0,469,EXT,BLOCKED
STK100011,PL03,MAT2010,151,0,54,0,0,0,97,B02,QUALITY_HOLD
STK100012,PL01,MAT2002,350,0,0,251,0,0,99,B02,RESERVED
STK100013,PL02,MAT2005,1145,0,0,0,483,0,662,A01,WRONG_LOCATION
STK100014,PL04,MAT2007,706,0,0,0,0,311,395,QH1,EXPIRED
STK100015,PL01,MAT2001,1090,0,0,0,0,224,866,C03,SHELF_LIFE_RISK
STK100018,PL02,MAT2010,962,0,0,1106,0,0,0,C03,NEGATIVE_AVAILABLE
STK100019,PL03,MAT2009,47,9,7,11,4,0,16,QH1,MIXED
