po_number,item,po_date,supplier_id,plant_id,material_id,ordered_qty,received_qty,net_unit_price,currency,requested_delivery_date,snapshot_date,status,priority,case_id,remaining_qty,po_value_remaining,aging_days,due_days
45001001,10,2026-02-01,SUP1001,PL01,MAT1001,100,40,1200,INR,2026-03-15,2026-09-10,OPEN,Normal,CASE01,60,72000,221,179
45001002,10,2026-03-10,SUP1002,PL01,MAT1002,50,0,42000,INR,2026-05-01,2026-09-10,OPEN,Normal,CASE02,50,2100000,184,132
45001003,10,2026-04-20,SUP1003,PL02,MAT1003,200,120,850,INR,2026-06-15,2026-09-10,OPEN,Normal,CASE03,80,68000,143,87
45001004,10,2026-05-05,SUP1004,PL03,MAT1005,80,0,6500,INR,2026-06-01,2026-09-10,OPEN,High,CASE04,80,520000,128,101
45001005,10,2026-05-15,SUP1005,PL01,MAT1004,500,500,90,INR,2026-06-01,2026-09-10,OPEN,Normal,CASE05,0,0,118,101
45001006,10,2026-01-15,SUP1006,PL02,MAT1006,1000,0,18,INR,2026-02-20,2026-09-10,OPEN,Normal,CASE06,1000,18000,238,202
45001007,10,2026-06-01,SUP1001,PL01,MAT1001,60,0,1250,INR,2026-06-20,2026-09-10,OPEN,Normal,CASE07,60,75000,101,82
45001008,10,2026-07-01,SUP1002,PL02,MAT1002,20,0,41000,INR,2026-09-30,2026-09-10,OPEN,Normal,CASE08,20,820000,71,-20
45001009,10,2026-02-15,SUP1004,PL03,MAT1005,40,0,6600,INR,2026-03-10,2026-09-10,OPEN,High,CASE09,40,264000,207,184
45001010,10,2026-04-01,SUP1003,PL02,MAT1003,150,0,900,INR,2026-05-01,2026-09-10,OPEN,Normal,CASE10,150,135000,162,132
45001011,10,2026-03-01,SUP1001,PL01,MAT1001,30,0,1190,INR,2026-03-20,2026-09-10,OPEN,Normal,CASE11,30,35700,193,174
45001012,10,2026-08-01,SUP1005,PL01,MAT1004,300,0,95,INR,2026-08-20,2026-09-10,OPEN,Normal,CASE12,300,28500,40,21
