po_number,item,release_status,release_date,block_reason
45001001,10,RELEASED,2026-02-01,STANDARD
45001002,10,RELEASED,2026-03-10,STANDARD
45001003,10,RELEASED,2026-04-20,STANDARD
45001004,10,RELEASED,2026-05-20,STANDARD
45001005,10,RELEASED,2026-05-15,STANDARD
45001006,10,RELEASED,2026-01-15,STANDARD
45001007,10,RELEASED,2026-06-01,STANDARD
45001008,10,RELEASED,2026-07-01,STANDARD
45001009,10,BLOCKED,2026-02-15,QUALITY_HOLD
45001010,10,RELEASED,2026-04-01,STANDARD
45001011,10,RELEASED,2026-03-01,STANDARD
45001012,10,RELEASED,2026-08-01,STANDARD
